Globasa	Eng with Senses	German	Dutch	Old English (ca. 450-1100)	Ancient Greek (to 1453)	Latin	French	Italian	Russian	Yiddish	Hebrew	Arabic	Mandarin Chinese	Japanese	Turkish	Tatar
esparago	asparagus [asparagus plant, Asparagus officinalis]	Spargel <m>	asperge <f>	eorþnafola <m>	ἀσπάραγος <m>, ἀσφάραγος <m>	corruda <f>, asparagus <m>	asperge <f>	asparago <m>	спа́ржа <f>			هِلْيُون <m>, هِلْيَوْن <m>	蘆筍 /芦笋	アスパラガス	kuşkonmaz	
espatul																
especifi																
especifigi																
espesyal																
espetrum																
espinaka	spinach [a particular edible plant, Spinacia oleracea]	Spinat <m>	spinazie <m>		σπανακόν <n>, σπάναξ <m>	spinacia, blitum <n>	épinards <m>	spinacio <m>	шпина́т <m>	שפּינאַק <m>, שפּינאַט <m>	תרד <m>	إِسْفَانَاخ <m>, سَبَانِخ <m>	菠菜	菠薐草	ısmalak, ıspanak	
espiral																
esponji	sponge [marine invertebrate]	Schwamm <m>	spons <f>		σπόγγος <m>	spongia <f>	éponge <f>	spugna <f>	гу́бка <f>	שוואָם <m>/<f>	סְפוֹג <m>	إِسْفَنْج <m>	海綿 /海绵	海綿	sünger	
espora	spore [reproductive particle]	Spore <f>	spoor <n>				spore <f>	spora <f>	спо́ра <f>		נבג <m>		孢子	胞子		
esportu	sport [any athletic activity that uses physical skills]	Sport <m>	sport <m>		ἄθλημα <n>, ἀγών <m>		sport <m>	diporto <m>, sport <m>	спорт <m>	ספּאָרט	סְפּוֹרְט <m>, מלעב	رِيَاضَة <f>		運動, スポーツ	spor, yöndün	спорт
esportuyen	sportsperson [someone who plays sport, regardless of gender], sportswoman [woman who engages in sports]	Sportlerin <f>, Sportlerin <f>, Sportler <m>	sportvrouw <f>				sportive <f>, sportive <f>, sportif <m>	sportiva <f>, sportiva <f>, sportivo <m>	спортсме́н <m>, спортсме́нка <f>, атле́тка <f>, спортсме́нка <f>			رِيَاضِيَّة <f>, رِيَاضِيّ <m>, رِيَاضِيَّة <f>	運動員 /运动员, 女運動員 /女运动员, 運動員 /运动员	運動選手, スポーツウーマン	sporcu	
esprey																
espreybotela																
espreydo																
espringu	spring [device made of flexible material]	Feder <f>, Sprungfeder <f>	veer <f>				ressort <m>	molla <f>	пружи́на <f>, рессо́ра <f>	ספּרונזשינע <f>, ספּרענזשינעס <f>	קְפִיץ <m>	يَاي <m>, سوستة <f>, زُنْبُرُك <m>, نَابِض <m>		発条, スプリング	yay, zemberek	
esprintu																
esprintuyen																
esraru																
esrarupul																
Esrilanka	Sri Lanka [an island and country in South Asia]	Sri Lanka	Sri Lanka <n>	Deprobane <f>	Ταπροβάνη	Srilanca <f>, Tāprobanē <f>	Sri Lanka	Sri Lanka <m>	Шри-Ланка́ <f>, Шри-Ла́нка <f>	סרי לאַנקאַ	סְרִי לַנְקָה <f>	سِرِيلَانْكَا <f>, سَرَنْدِيب <f>, سَيْلَان <f>	斯里蘭卡	スリランカ	Sri Lanka	Шри-Ланка
Esrilankali	Sri Lankan [of, from, or pertaining to Sri Lanka or to the Sri Lankan people]	sri-lankisch	Sri Lankaans				sri-lankais		ланки́йский, шри-ланки́йский, шриланки́йский							
Esrilankayen	Sri Lankan [a person from Sri Lanka or of Sri Lankan descent]	Sri-Lankerin <f>, Sri-Lanker <m>	Sri Lankaan <m>, Sri Lankaanse <f>				Sri-Lankais <m>, Sri-Lankaise <f>		ланки́ец <m>, шриланки́йка <f>, ланки́йка <f>, шриланки́ец <m>				斯里蘭卡人	スリランカ人	Sri Lankalı	
establi																
establido																
establixey	establishment [that which is established]		bestel <n>, vestiging				établissement <m>	instaurazione <f>, insediamento <m>	заведе́ние <n>, учрежде́ние <n>		מוֹסָד <m>	مُؤَسَّسَة <f>	機關 /机关, 機構 /机构	機関		
estampe																
estandar																
estandarli																
estano																
estare																
estarefruta																
estarelari																
estatisti																
estatistili																
estato	state [a political division of a federation retaining a degree of autonomy], province [a subdivision of government usually one step below the national level]	Land <n>, Provinz <f>, Staat <m>, Bundesland <n>, Land <n>	provincie <f>, staat <m>	boldġetæl <m>	ἐπαρχία <f>	civitas <f>, res publica <f>, provincia, pāgus <m>	province <f>, état <m>, État <m>, état <m>	provincia <f>, stato <m>	префекту́ра <f>, о́бласть <f>, прови́нция <f>, земля́ <f>, штат <m>, край <m>, прови́нция, префекту́ра <f>, штат <m>, о́бласть <f>	שטאַט <m>, פּראָווינץ <f>	מחוז, פְּרוֹבִינְצְיָה, אֶרֶץ <f>, מְדִינָה <f>	وِلَايَة <f>, وِلَايَة <f>, مُقَاطَعَة <f>	省, 省份	省, 地方, 県, 州, 合衆国, 州	devlet, eyalet, vilayet, il, vilayet, il	провинция, өлкә
estatokef	governor [chief executive officer of first-level division of a country]	Gouverneurin <f>, Gouverneur <m>	gouverneur <m>		ἀρχηγέτης <m>, κυβερνήτης <m>	gubernātrīx <f>, gubernātor <m>	gouverneur <m>, gouverneure <f>	governatore <m>, governatrice <f>	губерна́тор <m>		מוֹשֵׁל <m>	حَاكِم <m>, وَالٍ <m>, مُحَافِظ <m>	省長 /省长, 州長 /州长	知事	ilbay, vali	губернатор, вали
estatomon	county [administrative region of various countries]	Landkreis <m>, Qark <m>, County <n>, Grafschaft <f>, Bezirk <n>	graafschap <n>	sċīr <f>		comitatus <m>	comté <m>, département <f>	contea <f>	гра́фство <n>, о́круг <m>, уе́зд <m>		נָפָה <f>	مُحَافَظَة <f>, مُقَاطَعَة <f>	郡, 縣 /县	郡	ilçe	
estatus																
estay	stand [to support oneself on the feet in an erect position]	; stehen, staa	; staan	; standan, ætstandan	; ἵστημι	; stō	; se tenir debout, être debout	; stare in piedi	; стоя́ть	; שטיין	; עַמד	; قام, وَقَفَ, وقف, وقف		; 立つ	; durmak, ayakta durmak	; торырга
estayli	vertically [in a vertical direction or position]	senkrecht, vertikal; senkrecht, vertikal	verticaal	upriht			vertical; verticalement	verticale; verticalmente	отве́сный, вертика́льный; вертика́льно, стоймя, на попа́		אֲנָכִי	رَأْسِيّ, عَمُودِيّ	直立, 垂直, 豎的 /竖的	縦の, 垂直の, 直立の	dikey	
estayne																
Estefan	Stephen [male given name]	Steffen <m>, Stephan <m>, Stefan <m>	Steven <m>, Stefan <m>		Στέφανος <m>	Stephanus <m>	Étienne <m>, Stéphane <m>	Stefano <m>	Сти́вен <m>, Степа́н <m>		סטפן	سْتِيفِن <m>, إِصْتِفَان <m>	史蒂文, 斯蒂芬	スティーヴン, スティーブン	İstefanos	
Ester	Esther [female given name]	Esther <f>	Esther <f>		Ἐσθήρ <f>	Esther <f>	Esther	Ester	Эсте́р <f>, Эсфи́рь <f>, Есфи́рь <f>	אסתּר <f>	אֶסְתֵּר	أَسْتِير <f>	艾丝特	エステル		
esteyple		Heftklammer <f>	niet <f>				agrafe <f>		скре́пка <f>, скоба́ <f>				訂書釘 /订书钉		tel zımba	
esteypledo																
esteypletul																
Esti	Estonia [country in northeastern Europe]	Estland <n>	Estland <n>	Ēstland <n>		Estonia, Æstonia <f>	Estonie <f>	Estonia <f>	Эсто́ния <f>	עסטלאַנד <n>	אֶסְטוֹנְיָה <f>	إِسْتُونِيَا <f>, إستونيا <f>		エストニア	Estonya	Эстония
estigma																
estigmado																
estilo																
estimula																
estimulado																
Estisa																
Estiyen																
esto	cease [transitive|intransitive], stop [to cease; to no longer continue (doing something)], halt [to stop either temporarily or permanently], quit [to give up, stop doing something]	Blockierung <f>, Halt <m>, Pause, Einstellung <f>, Unterbrechung <f>; aufgeben, sein lassen, aufhören, einstellen, aufhören, aufhören, stoppen, anhalten, rasten	beëindiging; ophouden, onderbreken, ophouden met, opgeven, stoppen met			; subsisto, linquō	cessation <f>; faire halte, suspendre, s'arrêter, cesser, abandonner, arrêter	cessazione <f>; interrompere, arrestare, cessare, smettere, terminare, smettere, abbandonare, smettere, smettere di, cessare, riporre, fermare, accantonare	прекраще́ние <n>; класть на полку, встать, замереть, замирать, прекрати́ться, прекраща́ться, перестава́ть, прекраща́ть, прекрати́ть, переста́ть, бро́сить, броса́ть		; חדל	وَقْف <m>; حَبَسَ, تَوَقَّفَ, تَخَلَّى عَن, زَالَ	停止, 中止; 放棄 /放弃, 停, 停止, 停止	停止, 中止; 止める, 止む, 停止する, 休止する	; durmak, durdurmak, bırakmak, durmak, bitmek	
estodo	stopped [not moving]															
estodom	stop [place to get on and off mass transport]	Busstopp <m>, Haltestelle <f>	halte <f>				halte <f>, arrêt <m>	fermata <f>	остано́вка <f>	סטאַנציע <f>		مَوْقِف <m>		バス停, 停留所	durak	
estoka	stock [store of goods for sale], inventory [stock of an item on hand at a particular location or business]	Lager, Vorrat <m>, Vorratslager <n>, Lager <n>, Inventar <n>, Vorräte <m>	stock <m>, voorraad <m>, inventaris <m>, voorraad <m>	stocc			stock <m>, inventaire <m>	scorta, quantitativo <m>, partita <f>, lotto <m>, giacenza <f>, approvvigionamento <m>	запа́сы <m>, инвента́рь <m>, запа́с <m>, инвента́рь <m>, ассортиме́нт <m>		מְלַאי <m>	جَرْد <m>, جَرْد <m>, خَزِين <m>	庫存 /库存, 庫存 /库存, 儲存 /储存	在庫	envanter	
estomotsufono																
estovu	stove [heater]	Ofen <m>	oven, kachel				poêle <m>	stufa <f>	буржу́йка <f>, пе́чка <f>, печь <f>	אויוון <m>	כִּירָה <f>, כִּירַיִם <f>, תַּנּוּר <m>	مِدْفَأَة <f>, مِدْفَأ <m>, مَوْقِد <m>	爐 /炉, 火爐 /火炉	暖炉, ストーブ	soba	
estrategi																
estrategili																
estrayki																
estres																
estresdo																
estrimi																
estripe																
estripeyen																
estroberi																
estrontyum																
estrutur																
estruturdo																
estruturli																
estudi																
estudido																
estudiyen																
estulu																
Etan	Ethan [male given name]		Ethan				Éthan		Еѳанъ <m>, Е́фан <m>		אֵיתָן <m>			イーサン		
etatu																
etatudo																
etatufil																
ete	they [third-person plural pronoun]	sie	zij, ze	hīe	οὗτοι, αὗται f ταῦτα, σφεῖς	ei, ii, illi, hi	iels, eux-autres, elles, eux, eux, eusse, ils	loro, essi	они́	זיי	הֵם, הֵן	هُنَّ, هِيَ, هم, هما, هُم, اهم, هُمَا, هُمَّ		あの人達, 彼ら, あの方々, あいつら, それら, 彼女ら	onlar	алар
eter																
etesu
etesu ete
etesu oto
etesu te
etesu to
etika																
etikali																
etiraf																
etirafdo																
etno																
etnoli																
etnotim																
Eva	Eve [given name]	Eva <f>, Eve <f>	Eva		Εὕα <f>	Eva	Ève <f>	Eva	Е́ва <f>, Ив <f>		חַוָּה <f>	حَوَّاء <f>, أِيف <f>	伊夫, 夏娃	イヴ, イブ	Havva	
evolu	evolve [change genetic composition|to change, to transform]	Evolution <f>, Entwicklung <f>; verändern	evolutie <f>, ontwikkeling <f>; evolueren			prōgressus <m>, seriēs <f>	évolution <f>, développement <m>	evoluzione <f>, potenziamento <m>, sviluppo <m>	разви́тие <n>, разви́тие <n>, эволю́ция <f>; развива́ться, эволюциони́ровать, разви́ться, преобразоваться, преобразовываться		הִתְפַּתְּחוּת <f>, הִשְׁתַלְשְׁלוּת <f>, הִתְפַּתְּחוּת <f>	تَعْمِير <m>, تَطَوُّر <m>, إِعْمَار <m>, تَطَوُّر <m>	變遷 /变迁, 演變 /演变, 發展 /发展, 開發 /开发	発展, 開発	gelişim, ilerleme, kalkınma, gelişme	
evolucudo																
evoludo																
evolugi	develop [to progress through stages]	; entwickeln, sich entwickeln	; zich ontwikkelen, uitgroeien				; développer, se développer	; accrescere	; развива́ться, развива́ть, разви́ть, разви́ться	; אַנטוויקלען	; התפתח	; طَوَّرَ	; 成長 /成长		; gelişmek	
evoluli teori																
ewfonyum																
ewkalitus																
Ewklide	Euclid [Greek mathematician]	Euklid <m>				Euclides	Euclide <m>	Euclide <m>	Евкли́д <m>, Эвкли́д <m>			إِقْلِيدِس <m>	歐幾里得 /欧几里得	ユークリッド, エウクレイデス	Öklid	
Ewklideli	Euclidean [of traditional geometry]	euklidisch	euclidisch				euclidien	euclideo	евкли́дов							
Ewnike	Eunice [female given name]				Εὐνίκη <f>				Евника <f>				尤妮斯			
ewreka	find [encounter, locate, discover], locate [to learn where something is located]	Entdeckung <f>, Finden <n>; finden	ontdekking <f>; vinden, aantreffen	onfundennes <f>; findan	εὕρημα <f>; εὑρίσκω	inventio <f>; inveniō in tabulā, inveniō, nancīscor, reperiō	découverte <f>; trouver	scoperta <f>; localizzare, trovare, scoprire, rinvenire, scovare, reperire	откры́тие <n>, открыва́ние <n>, иска́ние, нахожде́ние; обнаружить, находи́ть, найти́	; געפֿינען	מציאה <f>, גילוי <m>; מָצָא	اِكْتِشَاف <m>; وَجَدَ, لَقِيَ	發現 /发现; 找到	発見; 見付ける	keşif; bulmak	; табарга
ewrekado																
Ewropa	Europe [continent]	Europa <n>	Europa <n>		Εὐρώπη <f>	Eurōpa <f>	Europe <f>	Europa	Евро́па <f>	אייראָפּע <f>	אֵירוֹפָּה <f>	أُورُبَّا <f>, أُورُوبَّة <f>, أُورُوبَّا <f>	歐羅巴 /欧罗巴, 歐洲 /欧洲	欧羅巴, ヨーロッパ, 欧州	Avrupa	Аурупа
Ewropali	European [relating to a European or Europeans|relating to Europe or the European Union]	europäisch	Europees			Eurōpaeus	européen	europeo, europeo, europea	европе́йский	אייראָפּעיִש	אֵירוֹפִּי	أُورُوبِيّ	歐洲人的 /欧洲人的, 歐洲的 /欧洲的	ヨーロッパの, 欧州の	Avrupalı	
Ewropayen	European [person]	Europäerin <f>, Europäer <m>	Europeaan <m>, Europeaanse <f>				Européen <m>, Européenne <f>	europeo <m>, europea <f>	европе́ец <m>, европе́йка <f>	אייראָפּעערין <f>, אייראָפּעער <m>		أُورُوبِيّ <m>, أُورُوبِيَّة <f>	歐洲人 /欧洲人	欧州人, ヨーロッパ人	Avrupalı	
ewropyum	europium [chemical element]	Europium <n>	europium <n>			europium <n>	europium <m>	europio <m>	евро́пий <m>		אירופיום	يُرُوبْيُوم <m>	銪 /铕	ユウロピウム	avrupyum, europyum, evropiyum	
Ewskal	Basque Country [autonomous community within Spain|geographical region in Spain and France where the Basque language is traditionally spoken]	Baskenland <n>	Baskenland				Pays basque <m>	Paesi Baschi, Paese basco	Страна́ Ба́сков <f>, Баско́ния <f>, Страна́ ба́сков <f>				巴斯克自治區 /巴斯克自治区, 巴斯克地區 /巴斯克地区	バスク地方	Bask Ülkesi, Bask Bölgesi	
Ewskalli	Basque [relating to the Basque people or their language]	baskisch	Baskisch			Vasconicus	basquaise, basque	basco	ба́скский, баско́нский				巴斯克的	バスク語, バスクの, バスク人の	Bask	
Ewskalsa	Basque [language]	Baskisch <n>	Baskisch <n>				basque <m>	basco <m>	ба́скский язы́к <m>, ба́скский <m>			الْبَاسْك <m>, الْبَشْكَنْس <f>	巴斯克語 /巴斯克语	バスク語	Baskça	
Ewskalyen	Basque [member of a people]	Baske <m>, Baskin <f>	Bask <m>, Baskische <f>				Basquaise <f>, Basque <m>/<f>, Basquais <m>	basca <f>, basco <m>	баск <m>, баско́нка <f>			بَاسْكِيّ <m>	巴斯克人	バスク人	Bask	
ex	out [away from the inside]	aus	uit		ἐξ				из			خَارِج				
ex-	extra- [outside, beyond]	außer-, extra-					extra-	extra-	экстра-, вне-			خَارِجَ عَنْ		超		
exata	come out [to exit], emerge [to come out of]	; weggehen, hinausgehen, herauskommen, davonkommen, auftauchen	opkomst; opduiken		; ἐξέρχομαι	; ēmergō, prōdeō	émergence <f>; sortir, émerger, sortir	; emergere, venire fuori	всплыва́ние <n>, всплы́тие <n>; вы́йти, выходи́ть		; צף, יָצָא	; خَرَجَ, غَادَرَ	; 出來 /出来, 出, 出來 /出来	; 出てくる, 出る	zuhur; çıkmak	; чыгу
exbao																
exbistar																
excu																
exdexagi																
exdunyayen	alien [life form of non-Earth origin], extraterrestrial [being originating from outside of the Earth]	Außerirdische <f>, Außerirdischer <m>, Alien <m>/<n>, Außerirdische <f>, Außerirdischer <m>	alien <m>, ruimtewezen <n>			ēns extrā terram <n>	extraterrestre <m>/<f>, alien <m>, extraterrestre <m>	alieno <m>, extraterrestre <m>/<f>	инопланетя́нка <f>, инопланетя́нин <m>, инопланетя́не, прише́лец <m>, иноплане́тник <m>, инопланетя́нка <f>, инопланетя́нин <m>		חוּצָן <m>, חַיְזָר <m>	فَضَائِيّ <m>, فَضَائِيَّة <f>	外星人, 宇宙人	異星人, エイリアン, 宇宙人, 異星人, 宇宙人	uzaylı	
exergo	quit [to resign], resign [quit a job or position]	; zurücktreten, kündigen, kündigen	; ontslag nemen		; ἀπεῖπον, παρίημι	; abdicō	; démissionner, démissionner, abdiquer	; lasciare, dare le dimissioni, dimettersi, licenziarsi, dimettersi	; увольня́ться, уво́литься, уво́литься, отка́зываться от до́лжности, увольня́ться, уходи́ть в отста́вку, бро́сить рабо́ту		; פרש, התפטר, התפטר	; اِسْتَقَالَ	; 辭去 /辞去, 辭職 /辞职	; 辞任する, 辞める, 辞職する	; istifa etmek	
exergocu	resign [quit a job or position]	Kündigung <f>, Rücktritt <m>, Niederlegung <f>; zurücktreten, kündigen	aftreding <f>; ontslag nemen		; ἀπεῖπον, παρίημι	abdicātiō <f>; abdicō	démission <f>; démissionner, abdiquer	uscita <f>, fuoriuscita <f>, dimissioni <f>; lasciare, dare le dimissioni, dimettersi	отста́вка <f>, ухо́д <m>; уво́литься, отка́зываться от до́лжности, увольня́ться, уходи́ть в отста́вку, бро́сить рабо́ту		; התפטר	اِسْتِعْفَاء <m>, اِسْتِقَالَة <f>; اِسْتَقَالَ	辭職 /辞职; 辭去 /辞去, 辭職 /辞职	辞任, 辞職; 辞任する, 辞める, 辞職する	istifa; istifa etmek	отставка
exergogi	fire [to terminate the employment of], oust [to expel; to remove]	; vertreiben, schassen, verdrängen, kündigen, feuern	; verdrijven, verbannen, verwijderen, ontslaan				; congédier, virer, lourder, mettre à la porte, limoger, licencier, expulser	; licenziare, dimettere, cacciare, espellere, rimuovere, estromettere	; уво́лить, увольня́ть, выгоня́ть, изгна́ть, сверга́ть, вы́гнать, изгоня́ть	; אָפּזאָגן	; גֵּרֵשׁ, פיטר	; طَرَدَ	; 罷免 /罢免, 逐出, 罷黜 /罢黜	; 首を切る, 解雇する, 首にする, 取り上げる, 追い払う, 取り除く	; zorla çıkarmak, kovmak, işten atmak	
exeskeleto																
exfon																
exgi																
exhawa																
exidi	leave [to depart (intransitive)], go out [to leave, especially a building|to leave one's abode to go to public places]	Abschied <m>, Abwanderung <f>, Austritt <m>, Ausstieg <m>, Abtritt <m>; fortfahren, wegfahren, weggehen, fortgehen, ausgehen, ausgehen, herausgehen, hinausgehen	; weggaan, vertrekken, naar buiten gaan, uitgaan	; forlǣtan, āgān	ἔξοδος <f>; λείπω, ἐκβαίνω	abitus <m>; exeō, ēgredior, egredior, exeo, discedo, abeo, proficiscor, abambulo, egredior, decedo, exeō, descisco	congé <m>, sortie <f>; sortir, partir	partenza <f>, uscita <f>; andare fuori, uscire, partire, andarsene	вы́ход <m>; уезжа́ть, уе́хать, уходи́ть, уйти́, быва́ть в о́бществе, встреча́ться, ходи́ть а́ут, вы́йти, выходи́ть	; אַרויסגיין, אַוועקפֿאָרן, אַוועקניין	יְצִיאָה <f>; יָצָא, עזב	خُرُوج <m>; خَرَجَ, تَرَكَ, اِنْصَرَفَ, غَادَرَ	退場 /退场, 離開 /离开; 出口, 出, 出去, 出門 /出门, 外出, 離開 /离开	; 去る, 出発する, 出かける, 出る	çekilme, çıkış, terk etme, terk, çıkma; çıkmak	
exiki																
exikili																
exizin																
exjeksi																
Exkiperi	Albania [country in south-eastern Europe]	Albanien, Albanien <n>	Albanië <n>		Ἄρβανον	Albania <f>	Albanie <f>	Albania <f>	Алба́ния <f>	אַלבאַניע	אַלְבַּנְיָה <f>	البانيا, أَلْبَانِيَا <f>, ألْبانيا <f>		アルバニア	Arnavutluk	Албания
Exkiperisa	Albanian [language]	Albanisch	Albanees <n>				albanais <m>	albanese	алба́нский <m>		אַלְבָּנִית		阿爾巴尼亞語 /阿尔巴尼亚语	アルバニア語	Arnavutça	
Exkiperiyen	Albanian [person from Albania]	Albanier <m>, Albanierin <f>, Albanerin <f>, Albaner <m>	Albanees <m>, Albanese <f>				Albanaise <f>, Albanais <m>	albanese	алба́нка <f>, алба́нец <m>		אלבני <m>, אלבנית <f>	أَلْبَانِيَّة <f>, أَلْبَانِيّ <m>	阿爾巴尼亞人 /阿尔巴尼亚人	アルバニア人	Arnavut	
exkludi																
exkludido																
exkopi																
exku		Liebesgeschichte <f>, Romanze <f>					romance <f>, idylle <f>	storia d'amore	рома́н <m>				浪漫, 戀愛 /恋爱	恋, ロマンス, 恋愛	romans	
exkudoste	boyfriend [male partner in a romantic relationship], girlfriend [a female partner in a romantic relationship]	Girlfriend <f>, Boyfriend <m>, mein/dein/ihr/sein Freund <m>, fester Freund <m>	meisje <n>, vriendin, lief <n>, vriend <m>			amīca, amīcula, amātrix, amāns, amīcus <m>, amātor <m>, amāns <m>/<f>, amīculus <m>	petit copain <m>, amoureux <m>, sigisbée <m>, mec <m>, compagnon <m>, chum <m>, petit ami <m>, partenaire <m>, mon/ton/son ami <m>, keum <m>, chéri <m>, mon/ton/son copain <m>, compagne <f>, partenaire <f>, copine <f>, petite copine <f>, meuf <f>, nana <f>, blonde <f>, chérie <f>, femme <f>, petite amie <f>	fidanzata <f>, donna <f>, ragazza <f>, fidanzato <m>, ragazzo <m>	гёрлфре́нд <f>, подру́жка <f>, подру́га <f>, возлю́бленная <f>, прия́тельница <f>, избранница <f>, гёрлфренд <f>, де́вушка <f>, бойфре́нд <m>, дружо́к <m>, па́рень <m>, возлю́бленный <m>, кавале́р <m>, молодой человек <m>, друг <m>, прия́тель <m>, ухажёр <m>		בת־זוג לחיים, חֲבֵרָה <f>, חברה לחיים, חבר \ חָבֵר <m>	صَاحِبَة <f>, صَدِيقَة <f>, حَبِيبَة <f>, خَلِيل <m>, حَبِيب <m>, رَفِيق <m>	女朋友, 對象 /对象, 男朋友, 對象 /对象	カレ, 彼氏, カレシ, 彼, ボーイフレンド, 彼女, 付き合ってる人, ガールフレンド, 意中の女	kız arkadaş, sevgili, erkek arkadaş	
exkune																
exkungan																
exkupul																
exkuyen	lover [sexual partner]	Liebhaber <m>, Liebhaberin <f>	minnaar <m>, minnares <f>		ἐραστής <m>	amātrix <f>, amāns, amator <m>	amante <f>, amant <m>	amante <m>/<f>	любо́вница <f>, любо́вник <m>	ליובאָווניק <m>, קאָכאַנטשיק <m>, געליבטע <f>, געליבטער <m>, ליובאָווניצע <f>, קאָכאַניק <m>, קאָכאַנקע <f>		مُحِبّ <m>, مُحِبَّة <f>, عَاشِقَة <f>, عَاشِق <m>, عَشِيق	情人	情婦 <f>, 愛人	âşık, oynaş	гашыйк
exli																
exnafasu	exhale [to breathe out]	Ausatmung <f>, Ausatmen <n>, Ausschnaufen <n>; ausatmen	uitademing <f>; uitademen		; ἐκπνέω	exhālātiō <f>; exhālō	; expirer	; espirare	; вы́дохнуть, выдыха́ть	; אויסאָטעמען	; נָשַׁף	زَفِير <m>; زَفَرَ	; 呼出	; 息を吐く	; nefes vermek	
exnasyonli																
exnetoli	offline [of a system, not connected to a larger network]	offline	ontkoppeld, offline				hors ligne, offline	off-line	офла́йн			غَيْر مُتَّصِل, غَيْر مُتَوَاجِد, أُفْلَايْن	離線 /离线, 脫機 /脱机	停止, オフライン	çevrimdışı	
exordinari	extraordinary [not ordinary]	außerordentlich, außergewöhnlich	buitengewoon		ἐξαίσιος	insolitus, eximus, extraordinarius	extraordinaire	fuori dal comune, ineguagliabile, impareggiabile, fantastico, straordinario, eccezionale, straordinaria	необыча́йный, чрезвычайный, экстраордина́рный, необы́чный	ויסערגעוויינלעך		اِسْتِثْنَائِيّ, غَيْرُ عَادِيّ	非凡, 了不起, 出眾 /出众	並外れた, 非凡な	harikulade, fevkalade, olağanüstü	
expel																
expesa																
explasi																
exporta																
exxaher																
exya	exterior [The outside part]	Außenseite <f>, Äußeres <n>							вне́шняя часть <f>, наружность, внешность, нару́жная часть <f>, экстерье́р <m>							
eya																
Eyob	Job [Biblical and Qur'anic character]	Hiob <m>	Job		Ἰὼβ <m>, Ἰώβ <m>	Iōb <m>	Job <m>	Giobbe <m>	Ио́в <m>		אִיּוֹב	أَيُّوب <m>	約伯 /约伯	ヨブ	Eyüp	
Eyre	Ireland [island|country — see also Republic of Ireland]	Irland <n>	Ierland <n>	Īrland <n>	Ἰέρνη <f>	Hī̆bernia <f>	Irlande <f>	Irlanda <f>	Э́йре <f>, Ирла́ндия <f>	אירלאַנד <n>	אִירְלַנְד	أَيِرْلَنْدَا <f>	愛爾蘭島 /爱尔兰岛, 愛爾蘭 /爱尔兰	アイルランド	İrlanda	Ирландия
Eyresa	Irish [the language]	Gälisch <n>, Irisch <n>, Irisch-Gälisch <n>	Iers <n>				gaélique irlandais <m>, irlandais <m>	gaelico <m>, irlandese <m>	и́рландский <m>		אִירִית	أَيِرْلَنْدِيّ	愛爾蘭語 /爱尔兰语	アイルランド語		
Eyreyen	Irish [the people]	Irin <f>, Ire <m>					Irlandaise <f>, Irlandais <m>	irlandese	ирла́ндка <f>, ирла́ндцы <m>, ирла́ндец <m>		אירים <m>	إِيرْلَنْدِيَّة <f>, إِيرْلَنْدِيّ <m>	愛爾蘭人 /爱尔兰人	アイルランド人		
Ezra	Ezra [male given name]	Esra <m>	Ezra <m>		Ἔσδρας <m>	Esdrās <m>	Esdras <m>	Esdra <m>	Е́здра <m>, Э́здра <m>, Э́зра <m>					エズラ		
fabrika																
fabrikado																
fabrikadom	factory [manufacturing place]	Fabrik <f>, Werk <n>, Manufaktur <f>	fabriek <f>		ἐργαστήριον <n>	fabrica <f>, officīna <f>	usine <f>, fabrique <f>, manufacture <f>	impianto <m>, manifattura <f>, fabbrica <f>, stabilimento <m>	заво́д <m>, фа́брика <f>, комбина́т <m>	פֿאַבריק <f>	מִפְעָל <m>, בֵּית חֲרֹשֶׁת <m>	مَصْنَع <m>, مَعْمَل <m>	廠 /厂, 工廠 /工厂, 廠家 /厂家	工場	tesis, fabrika	фабрика
fabrikayen	manufacturer [a person or company that manufactures]	Hersteller <m>, Produzentin <f>, Erzeuger <m>, Erzeugerin <f>, Herstellerin <f>, Produzent <m>	fabrikant <m>				fabricant <m>, fabricante <f>	produttore <m>	производи́тельница <f>, производи́тель <m>			مُصَنِّع <m>, صَانِع <m>	製作者 /制作者, 製造者 /制造者	生産者, メーカー, 製造業者	üretici	
fabula	fable [fictitious narration to enforce some useful truth or precept]	Fabel <f>	fabel <f>		μῦθος <m>, αἶνος	fābulātiō <f>, apologus <m>	fable <f>, conte <m>	fiaba <m>	ба́йка <f>, ба́сня <f>, ска́зка <f>, при́тча <f>	משל <n>	מָשָׁל <m>	أُسْطُورَة <f>, خُرَافَة <f>	寓言	寓話, 寓言	fabl, öykünce	мәсәл
fadila																
fadilakal																
fadilapul																
fahex		unanständig, unfein, vulgär, ungehobelt, vulgärsprachlich, ungebildet, unanständig, obszön	ruw, obsceen, ordinair, smakeloos, vulgair		φορτικός, βάναυσος	obscēnus	vulgaire, obscène, obscène	sconcio, osceno, laido, indecente, immorale, disdicevole, triviale, osceno, indecente, volgare	неприли́чный, непристо́йный, обсце́нный, нецензу́рный, развра́тный, неприли́чный, непристо́йный, по́шлый, вульга́рный		ווּלְגָרִי, הֲמוֹנִי	بَذِيء, قَذِر, فَحَّاش, فَاحِش	淫亂 /淫乱, 低俗, 下流, 淫穢 /淫秽, 粗俗, 鄙俗	すけべいな, 猥褻な, 淫乱な, すけべな, 汚い, 卑しい	kaba, müstehcen	
fahexxey																
fahexya																
