	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Sûreté du Québec	Proper noun	tr	police force	fra	Sûreté du Québec
eng	Sûreté	Proper noun	tr	short for Sûreté du Québec	fra	Sûreté
eng	Sûreté	Proper noun	tr	short for Sûreté Nationale	fra	Sûreté
