	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Otago	Proper noun	tr	Region in NZ	mri	Ōtākou
eng	Otaheite apple	Noun	tr	''Spondias dulcis''	ind	kedondong
eng	Otaheite apple	Noun	tr	''Spondias dulcis''	jpn	アマヤニリンゴ	tr=amayani-ringo
eng	Otaheite apple	Noun	tr	''Spondias dulcis''	jpn	タヒチモンビン	tr=tahichi monbin
eng	Otaheite apple	Noun	tr	''Spondias dulcis''	jpn	タマゴノキ	tr=tamago-no-ki
eng	Otaheite apple	Noun	tr	''Spondias dulcis''	khm	ម្កាក់
eng	Otaheite apple	Noun	tr	''Spondias dulcis''	tha	มะกอกฝรั่ง
eng	Otsu	Proper noun	tr	a city of Japan	ara	أُوتْسُو	m
eng	Otsu	Proper noun	tr	a city of Japan	ces	Ócu	n
eng	Otsu	Proper noun	tr	a city of Japan	cmn	大津	tr=Dàjīn	sc=Hani
eng	Otsu	Proper noun	tr	a city of Japan	jpn	大津	tr=おおつ, Ōtsu
eng	Otsu	Proper noun	tr	a city of Japan	kor	^오쓰
eng	Otsu	Proper noun	tr	a city of Japan	rus	О́цу	m
eng	Otsu	Proper noun	tr	a city of Japan	vie	Ōtsu
eng	Ottawan	Adjective	tr	of or relating to the city of Ottawa	cmn	渥太华的	tr=Wòtàihuáde
eng	Ottawan	Adjective	tr	of or relating to the city of Ottawa	cmn	渥太華的
eng	Ottawan	Adjective	tr	of or relating to the city of Ottawa	fin	ottawalainen
eng	Ottawan	Adjective	tr	of or relating to the city of Ottawa	mkd	отавјански
eng	Ottawan	Noun	tr	native or inhabitant of Ottawa	cmn	渥太华人	tr=Wòtàihuárén
eng	Ottawan	Noun	tr	native or inhabitant of Ottawa	cmn	渥太華人
eng	Ottawan	Noun	tr	native or inhabitant of Ottawa	epo	otavanino
eng	Ottawan	Noun	tr	native or inhabitant of Ottawa	epo	otavano
eng	Ottawan	Noun	tr	native or inhabitant of Ottawa	fin	ottawalainen
eng	Ottawan	Noun	tr	native or inhabitant of Ottawa	fra	Outaouaise	f
eng	Ottawan	Noun	tr	native or inhabitant of Ottawa	fra	Outaouais	m
eng	Ottawa	Noun	tr	a member of the Ottawa people	cat	ottawa
eng	Ottawa	Noun	tr	a member of the Ottawa people	cat	ottawes	p
eng	Ottawa	Noun	tr	a member of the Ottawa people	deu	Odawa
eng	Ottawa	Noun	tr	a member of the Ottawa people	fra	outaouais
eng	Ottawa	Noun	tr	a member of the Ottawa people	mez	Atāwāw
eng	Ottawa	Noun	tr	a member of the Ottawa people	oji	Anishinaabe
eng	Ottawa	Noun	tr	a member of the Ottawa people	oji	Anishinaabeg	p
eng	Ottawa	Noun	tr	a member of the Ottawa people	oji	Odaawaa
eng	Ottawa	Noun	tr	a member of the Ottawa people	oji	Odaawaag	p
eng	Ottawa	Noun	tr	a member of the Ottawa people	otw	Daawaa
eng	Ottawa	Noun	tr	a member of the Ottawa people	otw	Daawaag	p
