	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	jealous	Adjective	tr	protective, guarding; careful in the protection of something one has or appreciates	cmn	吃醋	tr=chīcù	sc=Hani
eng	jealous	Adjective	tr	protective, guarding; careful in the protection of something one has or appreciates	cmn	妒忌	tr=dùjì	sc=Hani
eng	jealous	Adjective	tr	protective, guarding; careful in the protection of something one has or appreciates	cym	cenfigennus
eng	jealous	Adjective	tr	protective, guarding; careful in the protection of something one has or appreciates	cym	eiddigeddus
eng	jealous	Adjective	tr	protective, guarding; careful in the protection of something one has or appreciates	deu	eifernd
eng	jealous	Adjective	tr	protective, guarding; careful in the protection of something one has or appreciates	deu	eifrig
eng	jealous	Adjective	tr	protective, guarding; careful in the protection of something one has or appreciates	ell	ζηλότυπος	m
eng	jealous	Adjective	tr	protective, guarding; careful in the protection of something one has or appreciates	fin	mustasukkainen
eng	jealous	Adjective	tr	protective, guarding; careful in the protection of something one has or appreciates	gla	eudmhor
eng	jealous	Adjective	tr	protective, guarding; careful in the protection of something one has or appreciates	gle	éad a bheith agat/ort
eng	jealous	Adjective	tr	protective, guarding; careful in the protection of something one has or appreciates	gle	éadmhar
eng	jealous	Adjective	tr	protective, guarding; careful in the protection of something one has or appreciates	hun	féltő
eng	jealous	Adjective	tr	protective, guarding; careful in the protection of something one has or appreciates	hye	նախանձախնդիր
eng	jealous	Adjective	tr	protective, guarding; careful in the protection of something one has or appreciates	ita	geloso
eng	jealous	Adjective	tr	protective, guarding; careful in the protection of something one has or appreciates	kat	ეჭვიანი
eng	jealous	Adjective	tr	protective, guarding; careful in the protection of something one has or appreciates	lit	budrus	m
eng	jealous	Adjective	tr	protective, guarding; careful in the protection of something one has or appreciates	por	ciumento
eng	jealous	Adjective	tr	protective, guarding; careful in the protection of something one has or appreciates	rus	ре́вностный
eng	jealous	Adjective	tr	protective, guarding; careful in the protection of something one has or appreciates	slv	ljubosumen
eng	jealous	Adjective	tr	protective, guarding; careful in the protection of something one has or appreciates	spa	celoso
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	ara	غَيُور
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	arz	غيار	tr=ḡayyār	sc=Arab
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	bel	раўні́вы
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	bul	ревни́в
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	cat	gelós
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	ces	žárlivý	m
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	cic	hopoo
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	cmn	吃醋	tr=chīcù	sc=Hani
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	cmn	妒忌	tr=dùjì	sc=Hani
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	cym	eiddigus
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	dan	jaloux
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	deu	eifersüchtig
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	ell	ζηλιάρης
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	est	armukade
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	fao	øvundsjúkur
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	fas	رشکین	tr=raškin
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	fin	mustasukkainen
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	fra	jalouse	f
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	fra	jaloux	m
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	gla	eudmhor
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	gle	éad a bheith agat/ort
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	gle	éadmhar
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	glg	ciumento	m
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	hbs	ljubomoran
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	hbs	љубоморан
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	hun	féltékeny
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	hye	խանդոտ
eng	jealous	Adjective	tr	suspecting rivalry in love; fearful of being replaced, in position or in affection	ind	cemburu
