eng	leaden	Adjective	tr	made of lead	por	plúmbeo
eng	leaden	Adjective	tr	made of lead	rus	свинцовый
eng	leaden	Adjective	tr	made of lead	spa	plomizo
eng	leaden	Adjective	tr	made of lead	spa	plúmbeo
eng	leaden	Adjective	tr	made of lead	yid	בלײַען
eng	leaden	Adjective	tr	pertaining to or resembling lead	bul	оловно сив
eng	leaden	Adjective	tr	pertaining to or resembling lead	bul	оловносив
eng	leaden	Adjective	tr	pertaining to or resembling lead	ces	olověný	m
eng	leaden	Adjective	tr	pertaining to or resembling lead	fin	lyijyinen
eng	leaden	Adjective	tr	pertaining to or resembling lead	gla	luaidheach
eng	leaden	Adjective	tr	pertaining to or resembling lead	lat	plumbārius
eng	leaden	Adjective	tr	pertaining to or resembling lead	lat	plumbeus
eng	leaden	Adjective	tr	pertaining to or resembling lead	por	plúmbeo
eng	leaden	Adjective	tr	pertaining to or resembling lead	por	plúmbico
eng	leaden	Adjective	tr	pertaining to or resembling lead	spa	plomizo
eng	leaden	Adjective	tr	pertaining to or resembling lead	spa	plúmbeo
eng	leaderboard	Noun	tr	a board showing the ranking of leaders in a competition	deu	Rangliste	f
eng	leaderboard	Noun	tr	a board showing the ranking of leaders in a competition	fra	classement	m
eng	leaderboard	Noun	tr	a board showing the ranking of leaders in a competition	hun	ranglista
eng	leaderboard	Noun	tr	a board showing the ranking of leaders in a competition	hun	rangsor
eng	leaderless	Adjective	tr	without a person providing direction	deu	führungslos
eng	leaderless	Adjective	tr	without a person providing direction	spa	acéfalo	m
eng	leaderless	Adjective	tr	without a person providing direction	spa	descabezado	m
eng	leaderless	Adjective	tr	without a thing serving as leader	deu	führungslos
eng	leaderlessness	Noun	tr	state or condition of being leaderless	deu	Führungslosigkeit	f
eng	leader	Noun	tr	dominant animal in a group	deu	Leittier	n
eng	leader	Noun	tr	dominant animal in a group	glg	líder	m	f
eng	leader	Noun	tr	dominant animal in a group	lav	barvedis	m
eng	leader	Noun	tr	dominant animal in a group	rus	вожа́к	m
eng	leader	Noun	tr	dominant animal in a group	tha	จ่าฝูง	tr=jàa-fǔung
eng	leader	Noun	tr	dominant animal in a group	tur	kösem
eng	leader	Noun	tr	one having authority	amh	መሪ
eng	leader	Noun	tr	one having authority	ara	رَئِيس	m
eng	leader	Noun	tr	one having authority	ara	زَعِيم	m
eng	leader	Noun	tr	one having authority	ara	قَائِد	m
eng	leader	Noun	tr	one having authority	aze	başçı
eng	leader	Noun	tr	one having authority	aze	lider
eng	leader	Noun	tr	one having authority	aze	öndər
eng	leader	Noun	tr	one having authority	aze	rəhbər
eng	leader	Noun	tr	one having authority	bel	во́дца	m
eng	leader	Noun	tr	one having authority	bel	кіраўні́к	m
eng	leader	Noun	tr	one having authority	bel	лі́дар	m
eng	leader	Noun	tr	one having authority	bel	правады́р	m
eng	leader	Noun	tr	one having authority	ben	নেতা
eng	leader	Noun	tr	one having authority	bul	водач	m
eng	leader	Noun	tr	one having authority	bul	вожд	m
eng	leader	Noun	tr	one having authority	bul	ли́дер	m
eng	leader	Noun	tr	one having authority	cat	dirigent	m
eng	leader	Noun	tr	one having authority	cat	líder	m	f
eng	leader	Noun	tr	one having authority	ces	šéf	m
eng	leader	Noun	tr	one having authority	ces	vedoucí
eng	leader	Noun	tr	one having authority	ces	velitel
eng	leader	Noun	tr	one having authority	ces	vůdce	m
eng	leader	Noun	tr	one having authority	chr	ᏗᏓᏘᏂᏙᎯ
eng	leader	Noun	tr	one having authority	chu	вождь	m
eng	leader	Noun	tr	one having authority	cic	minko'
eng	leader	Noun	tr	one having authority	ckb	سەرۆک
eng	leader	Noun	tr	one having authority	cmn	头子	tr=tóuzi
eng	leader	Noun	tr	one having authority	cmn	領導
eng	leader	Noun	tr	one having authority	cmn	領袖
eng	leader	Noun	tr	one having authority	cmn	頭子
eng	leader	Noun	tr	one having authority	cmn	领导	tr=lǐngdǎo
eng	leader	Noun	tr	one having authority	cmn	领袖	tr=lǐngxiù
eng	leader	Noun	tr	one having authority	cmn	首領
eng	leader	Noun	tr	one having authority	cmn	首领	tr=shǒulǐng
eng	leader	Noun	tr	one having authority	dan	leder	c
eng	leader	Noun	tr	one having authority	deu	Anführerin	f
eng	leader	Noun	tr	one having authority	deu	Anführer	m
eng	leader	Noun	tr	one having authority	deu	Chef	m
eng	leader	Noun	tr	one having authority	deu	Führerin	f
eng	leader	Noun	tr	one having authority	deu	Führer	m
eng	leader	Noun	tr	one having authority	deu	Hauptmann	m
eng	leader	Noun	tr	one having authority	deu	Kopf	m
eng	leader	Noun	tr	one having authority	deu	Leiter	m
eng	leader	Noun	tr	one having authority	ell	αρχηγός	m
eng	leader	Noun	tr	one having authority	ell	ηγέτης	m
eng	leader	Noun	tr	one having authority	epo	gvidanto
eng	leader	Noun	tr	one having authority	est	juht
eng	leader	Noun	tr	one having authority	est	liider
eng	leader	Noun	tr	one having authority	fas	رهبر	tr=rahbar
eng	leader	Noun	tr	one having authority	fas	لیدر	tr=lider
eng	leader	Noun	tr	one having authority	fin	johtaja
eng	leader	Noun	tr	one having authority	fin	vetäjä
eng	leader	Noun	tr	one having authority	fra	chef	m
eng	leader	Noun	tr	one having authority	fra	dirigeant	m
eng	leader	Noun	tr	one having authority	fra	leader	m
eng	leader	Noun	tr	one having authority	fur	cjâf	m
eng	leader	Noun	tr	one having authority	fur	dûs	m
eng	leader	Noun	tr	one having authority	gla	ceannard	m
eng	leader	Noun	tr	one having authority	gle	ceannaire	m
eng	leader	Noun	tr	one having authority	gle	ceann	m
eng	leader	Noun	tr	one having authority	gle	treoraí	m
eng	leader	Noun	tr	one having authority	glg	adail	m
eng	leader	Noun	tr	one having authority	glg	bren	m
eng	leader	Noun	tr	one having authority	glg	cabedel	m
eng	leader	Noun	tr	one having authority	glg	coudel	m
eng	leader	Noun	tr	one having authority	glg	dirixente	m
eng	leader	Noun	tr	one having authority	glg	líder	m	f
eng	leader	Noun	tr	one having authority	glg	xefe	m
eng	leader	Noun	tr	one having authority	grc	ἡγεμών	m
eng	leader	Noun	tr	one having authority	grc	ἡγήτωρ	m
eng	leader	Noun	tr	one having authority	grc	ὄρχαμος	m
eng	leader	Noun	tr	one having authority	hat	chèf
eng	leader	Noun	tr	one having authority	hat	dirijan
eng	leader	Noun	tr	one having authority	hbs	lider	m
eng	leader	Noun	tr	one having authority	hbs	vođa	m
eng	leader	Noun	tr	one having authority	hbs	вођа	m
eng	leader	Noun	tr	one having authority	hbs	лидер	m
eng	leader	Noun	tr	one having authority	heb	מַנְהִיג	m	tr=manhíg
eng	leader	Noun	tr	one having authority	heb	מנהיגה	f
eng	leader	Noun	tr	one having authority	hin	नेता	m
eng	leader	Noun	tr	one having authority	hin	रईस	m
eng	leader	Noun	tr	one having authority	hin	लीडर	m
eng	leader	Noun	tr	one having authority	hin	सरदार	m
eng	leader	Noun	tr	one having authority	hun	parancsnok
eng	leader	Noun	tr	one having authority	hun	pártvezér
eng	leader	Noun	tr	one having authority	hun	vezér
eng	leader	Noun	tr	one having authority	hun	vezető
eng	leader	Noun	tr	one having authority	hye	առաջնորդ
eng	leader	Noun	tr	one having authority	ido	chefo
eng	leader	Noun	tr	one having authority	isl	leiðsögumaður	m
eng	leader	Noun	tr	one having authority	ita	capo	m
eng	leader	Noun	tr	one having authority	ita	duce	m
eng	leader	Noun	tr	one having authority	jpn	リーダー	tr=rīdā
