	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	uvarovite	Noun	tr	mineral	deu	Uwarowit	m
eng	uvarovite	Noun	tr	mineral	fin	uvaroviitti
eng	uvarovite	Noun	tr	mineral	fra	uvarovite	f
eng	uvarovite	Noun	tr	mineral	rus	уваровит	m
eng	uvea	Noun	tr	the middle of the three concenctric layers that make up the eye	jpn	葡萄膜	tr=ぶどうまく, budōmaku
eng	uveitis	Noun	tr	inflammation of the uvea	ces	uveitida	f
eng	uveitis	Noun	tr	inflammation of the uvea	fra	uvéite	f
eng	uveitis	Noun	tr	inflammation of the uvea	jpn	葡萄膜炎	tr=ぶどうまくえん, budōmakuen
eng	uveitis	Noun	tr	inflammation of the uvea	msa	radang uvea
eng	uveitis	Noun	tr	inflammation of the uvea	msa	uveitis
eng	uvula	Noun	tr	appendage that hangs from the palate	ady	бзэгужъый
eng	uvula	Noun	tr	appendage that hangs from the palate	ara	لَهَاة	f
eng	uvula	Noun	tr	appendage that hangs from the palate	arz	لهاة	f	tr=laha
eng	uvula	Noun	tr	appendage that hangs from the palate	ast	campanín	m
eng	uvula	Noun	tr	appendage that hangs from the palate	aze	dilçək
eng	uvula	Noun	tr	appendage that hangs from the palate	bdr	pegad
eng	uvula	Noun	tr	appendage that hangs from the palate	bel	язычо́к	m
eng	uvula	Noun	tr	appendage that hangs from the palate	bre	hugenn
eng	uvula	Noun	tr	appendage that hangs from the palate	bul	мъже́ц	m
eng	uvula	Noun	tr	appendage that hangs from the palate	cat	garganxó	m
eng	uvula	Noun	tr	appendage that hangs from the palate	cat	llengüeta	f
eng	uvula	Noun	tr	appendage that hangs from the palate	cat	neulella	f
eng	uvula	Noun	tr	appendage that hangs from the palate	cat	úvula	f
eng	uvula	Noun	tr	appendage that hangs from the palate	ces	čípek	m
eng	uvula	Noun	tr	appendage that hangs from the palate	cmn	小舌	tr=xiǎoshé	sc=Hani
eng	uvula	Noun	tr	appendage that hangs from the palate	cmn	小舌儿	tr=xiǎoshér	sc=Hani
eng	uvula	Noun	tr	appendage that hangs from the palate	cmn	小舌兒	sc=Hani
eng	uvula	Noun	tr	appendage that hangs from the palate	cmn	悬雍垂	tr=xuányōngchuí	sc=Hani
eng	uvula	Noun	tr	appendage that hangs from the palate	cmn	懸雍垂	sc=Hani
eng	uvula	Noun	tr	appendage that hangs from the palate	cym	tafod bach	m
eng	uvula	Noun	tr	appendage that hangs from the palate	cym	tafodig	m
eng	uvula	Noun	tr	appendage that hangs from the palate	dan	drøbel	c
eng	uvula	Noun	tr	appendage that hangs from the palate	deu	Gaumenzäpfchen	n
eng	uvula	Noun	tr	appendage that hangs from the palate	deu	Uvula	f
eng	uvula	Noun	tr	appendage that hangs from the palate	drg	llangguk
eng	uvula	Noun	tr	appendage that hangs from the palate	dtr	angguk-angguk
eng	uvula	Noun	tr	appendage that hangs from the palate	dtr	landuk
