	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Ijekavian	Proper noun	tr	Ijekavian dialect(s)	hbs	ijékavica	f
eng	Ijekavian	Proper noun	tr	Ijekavian dialect(s)	hbs	ijékavskī ȉzgovōr
eng	Ijekavian	Proper noun	tr	Ijekavian dialect(s)	hbs	ије́кавица	f
eng	Ijekavian	Proper noun	tr	Ijekavian dialect(s)	hbs	ије́кавскӣ и̏згово̄р
eng	Ijekavian	Proper noun	tr	Ijekavian dialect(s)	pol	ijekawski	m
eng	Ijekavian	Proper noun	tr	Ijekavian dialect(s)	pol	jekawski	m
eng	Ijekavian	Proper noun	tr	Ijekavian dialect(s)	spa	iyecavo	m
eng	Ijevan	Proper noun	tr	town in Armenia	aze	İcevan
eng	Ijevan	Proper noun	tr	town in Armenia	aze	Karavansaray
eng	Ijevan	Proper noun	tr	town in Armenia	hye	Իջեւան
eng	Ijevan	Proper noun	tr	town in Armenia	rus	Иджева́н
eng	Ijnisinya	Proper noun	tr	a village in Palestine	heb	איג׳ניסיניא	f	tr=ijnisinya	alt=איג'ניסיניא
