	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Hyacinth	Proper noun	tr	female given name	ell	Υακίνθη	f
eng	Hyacinth	Proper noun	tr	female given name	ita	Giacinta
eng	Hyacinth	Proper noun	tr	female given name	pol	Hiacynta	f
eng	Hyacinth	Proper noun	tr	female given name	spa	Jacinta
eng	Hyacinth	Proper noun	tr	male given name	ell	Υάκινθος	m
eng	Hyacinth	Proper noun	tr	male given name	glg	Xacinto	m
eng	Hyacinth	Proper noun	tr	male given name	ita	Giacinto
eng	Hyacinth	Proper noun	tr	male given name	nrf	Hyacynthe	m
eng	Hyacinth	Proper noun	tr	male given name	nrf	Yacinthe	m
eng	Hyacinth	Proper noun	tr	male given name	pol	Hiacynt	m
eng	Hyacinth	Proper noun	tr	male given name	pol	Jacek	m
eng	Hyacinth	Proper noun	tr	male given name	spa	Jacinto
eng	Hyacinth	Proper noun	tr	male given name	vec	Jaçinto
eng	Hyacinthus	Proper noun	tr	a Spartan youth loved and accidentally killed by Apollo	deu	Hyakinthos
eng	Hyacinthus	Proper noun	tr	a Spartan youth loved and accidentally killed by Apollo	ell	Υάκινθος	sc=Grek
eng	Hyacinthus	Proper noun	tr	a Spartan youth loved and accidentally killed by Apollo	fra	Hyacinthe
eng	Hyacinthus	Proper noun	tr	a Spartan youth loved and accidentally killed by Apollo	grc	Ὑάκινθος	sc=polytonic
eng	Hyacinthus	Proper noun	tr	a Spartan youth loved and accidentally killed by Apollo	hye	Հիակինթոս	sc=Armn
eng	Hyacinthus	Proper noun	tr	a Spartan youth loved and accidentally killed by Apollo	iku	ᐦᐃᐊᓯᓐᑐᔅ	sc=Cans
eng	Hyacinthus	Proper noun	tr	a Spartan youth loved and accidentally killed by Apollo	ita	Giacinto
eng	Hyacinthus	Proper noun	tr	a Spartan youth loved and accidentally killed by Apollo	lat	Hyacinthus
eng	Hyacinthus	Proper noun	tr	a Spartan youth loved and accidentally killed by Apollo	rus	Гиаки́нф
eng	Hyacinthus	Proper noun	tr	a Spartan youth loved and accidentally killed by Apollo	rus	Гиаци́нт
eng	Hyacinthus	Proper noun	tr	a Spartan youth loved and accidentally killed by Apollo	spa	Jacinto
eng	Hyades	Proper noun	tr	an open cluster	fin	Hyadit	p
eng	Hyades	Proper noun	tr	an open cluster	lat	Sūculae	f-p
eng	Hyades	Proper noun	tr	an open cluster	mri	Matakaheru
eng	Hyades	Proper noun	tr	an open cluster	mri	Te Kōkota
eng	Hyades	Proper noun	tr	an open cluster	por	Híades
eng	Hyades	Proper noun	tr	an open cluster	rus	Гиа́ды	f-p
eng	Hyades	Proper noun	tr	daughters of Atlas	fin	hyadit	p
eng	Hyades	Proper noun	tr	daughters of Atlas	por	Híades
eng	Hyades	Proper noun	tr	daughters of Atlas	rus	Гиа́ды	f-p
eng	Hyde Park	Proper noun	tr	name of a park	ara	هَايْد بَارْك	m
eng	Hyde Park	Proper noun	tr	name of a park	bel	Гайд-па́рк	m
eng	Hyde Park	Proper noun	tr	name of a park	bul	Хайд Парк	m
eng	Hyde Park	Proper noun	tr	name of a park	cmn	海德公园	tr=Hǎidé Gōngyuán	sc=Hani
