	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	TGIF	Noun	tr	Friday celebration	jpn	花金	tr=hanakin
eng	Tg	Noun	tr		deu	TG
eng	Tg	Noun	tr		fra	Tv
