	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Yiannopoulos	Proper noun	tr	Greek surname	ell	Γιαννόπουλος
eng	Yibin	Proper noun	tr	prefecture-level city in China	cmn	宜宾	tr=Yíbīn	sc=Hani
eng	Yibin	Proper noun	tr	prefecture-level city in China	cmn	宜賓	sc=Hani
eng	Yichang	Proper noun	tr	a prefecture-level city in central China	cmn	宜昌	tr=Yíchāng	sc=Hani
eng	Yichang	Proper noun	tr	a prefecture-level city in central China	hun	Jicsang
eng	Yichang	Proper noun	tr	a prefecture-level city in central China	jpn	宜昌	tr=ぎしょう, Gishō
eng	Yichang	Proper noun	tr	a prefecture-level city in central China	kor	^이창
eng	Yichang	Proper noun	tr	a prefecture-level city in central China	rus	Ича́н	m
eng	Yichang	Proper noun	tr	a prefecture-level city in central China	vie	Nghi Xương
eng	Yicheng	Proper noun	tr	a county-level city and an economic and technological development zone in central China	cmn	宜城	tr=Yíchéng	sc=Hani
eng	Yicheng	Proper noun	tr	county	cmn	翼城	sc=Hani
eng	Yicheng	Proper noun	tr	district	cmn	驛城	sc=Hani
eng	Yicheng	Proper noun	tr	district	cmn	驿城	sc=Hani
eng	Yichuan	Proper noun	tr	county	cmn	伊川	tr=Yīchuān	sc=Hani
eng	Yichuan	Proper noun	tr	county	cmn	宜川	tr=Yíchuān	sc=Hani
eng	Yiddish	Adjective	tr	of or pertaining to the Yiddish language	afr	Jiddisj
eng	Yiddish	Adjective	tr	of or pertaining to the Yiddish language	cat	ídix
eng	Yiddish	Adjective	tr	of or pertaining to the Yiddish language	cat	jiddisch
eng	Yiddish	Adjective	tr	of or pertaining to the Yiddish language	ces	Jidiš	n
eng	Yiddish	Adjective	tr	of or pertaining to the Yiddish language	dan	jiddisch
eng	Yiddish	Adjective	tr	of or pertaining to the Yiddish language	deu	jiddisch
eng	Yiddish	Adjective	tr	of or pertaining to the Yiddish language	deu	judendeutsch
eng	Yiddish	Adjective	tr	of or pertaining to the Yiddish language	deu	judenteutsch
eng	Yiddish	Adjective	tr	of or pertaining to the Yiddish language	deu	jüdisch-deutsch
eng	Yiddish	Adjective	tr	of or pertaining to the Yiddish language	deu	jüdischdeutsch
eng	Yiddish	Adjective	tr	of or pertaining to the Yiddish language	deu	jüdisch-teutsch
eng	Yiddish	Adjective	tr	of or pertaining to the Yiddish language	deu	jüdischteutsch
eng	Yiddish	Adjective	tr	of or pertaining to the Yiddish language	ell	γίντις
eng	Yiddish	Adjective	tr	of or pertaining to the Yiddish language	epo	jida
eng	Yiddish	Adjective	tr	of or pertaining to the Yiddish language	fao	jiddiskur
eng	Yiddish	Adjective	tr	of or pertaining to the Yiddish language	fas	ییدیش	tr=yidiš	sc=fa-Arab
eng	Yiddish	Adjective	tr	of or pertaining to the Yiddish language	fin	jiddišinkielinen
eng	Yiddish	Adjective	tr	of or pertaining to the Yiddish language	fra	yiddish
eng	Yiddish	Adjective	tr	of or pertaining to the Yiddish language	gle	Giúdaise
eng	Yiddish	Adjective	tr	of or pertaining to the Yiddish language	glg	yiddish
eng	Yiddish	Adjective	tr	of or pertaining to the Yiddish language	hbs	jidiš
eng	Yiddish	Adjective	tr	of or pertaining to the Yiddish language	hbs	јидиш	m
eng	Yiddish	Adjective	tr	of or pertaining to the Yiddish language	heb	אִידִישָׁאִי	tr=idishai
eng	Yiddish	Adjective	tr	of or pertaining to the Yiddish language	hye	իդիշ
eng	Yiddish	Adjective	tr	of or pertaining to the Yiddish language	isl	jiddíska
eng	Yiddish	Adjective	tr	of or pertaining to the Yiddish language	ita	yiddish
eng	Yiddish	Adjective	tr	of or pertaining to the Yiddish language	lad	idish
eng	Yiddish	Adjective	tr	of or pertaining to the Yiddish language	lat	Judaeo-Germanicus
eng	Yiddish	Adjective	tr	of or pertaining to the Yiddish language	lit	Jidiš
eng	Yiddish	Adjective	tr	of or pertaining to the Yiddish language	nld	Jiddisch
eng	Yiddish	Adjective	tr	of or pertaining to the Yiddish language	nld	Jiddisj
eng	Yiddish	Adjective	tr	of or pertaining to the Yiddish language	nno	jiddisch
eng	Yiddish	Adjective	tr	of or pertaining to the Yiddish language	nno	jiddisk
eng	Yiddish	Adjective	tr	of or pertaining to the Yiddish language	nob	jiddisch
eng	Yiddish	Adjective	tr	of or pertaining to the Yiddish language	nob	jiddisk
eng	Yiddish	Adjective	tr	of or pertaining to the Yiddish language	pol	jidysz
