eng	oxbow lake	Noun	tr	crescent-shaped lake	nld	hoefijzermeer	n
eng	oxbow lake	Noun	tr	crescent-shaped lake	nno	kroksjø	m
eng	oxbow lake	Noun	tr	crescent-shaped lake	nno	meandersjø	m
eng	oxbow lake	Noun	tr	crescent-shaped lake	nob	kroksjø	m
eng	oxbow lake	Noun	tr	crescent-shaped lake	nob	meandersjø	m
eng	oxbow lake	Noun	tr	crescent-shaped lake	pol	jezioro przyrzeczne
eng	oxbow lake	Noun	tr	crescent-shaped lake	pol	starorzecze
eng	oxbow lake	Noun	tr	crescent-shaped lake	por	braço morto	m
eng	oxbow lake	Noun	tr	crescent-shaped lake	ron	belciug	n
eng	oxbow lake	Noun	tr	crescent-shaped lake	spa	brazo muerto	m
eng	oxbow lake	Noun	tr	crescent-shaped lake	spa	lago en herradura	m
eng	oxbow lake	Noun	tr	crescent-shaped lake	swe	korvsjö
eng	oxcart	Noun	tr	cart drawn by ox	cmn	牛車	sc=Hani
eng	oxcart	Noun	tr	cart drawn by ox	cmn	牛车	tr=niúchē	sc=Hani
eng	oxcart	Noun	tr	cart drawn by ox	epo	bovĉaro
eng	oxcart	Noun	tr	cart drawn by ox	fas	گاری	tr=gâri
eng	oxcart	Noun	tr	cart drawn by ox	fin	kärryt	p
eng	oxcart	Noun	tr	cart drawn by ox	fra	charette à bœufs	f
eng	oxcart	Noun	tr	cart drawn by ox	lao	ກວຽນ
eng	oxcart	Noun	tr	cart drawn by ox	nld	ossenkar	c
eng	oxcart	Noun	tr	cart drawn by ox	por	carro de bois	m
eng	oxcart	Noun	tr	cart drawn by ox	tha	เกวียน
eng	oxer	Noun	tr	type of horse jump	ces	oxer	m
eng	oxer	Noun	tr	type of horse jump	deu	Oxer	m
eng	oxer	Noun	tr	type of horse jump	fra	oxer	m
eng	oxeye daisy	Noun	tr	flower, ''Leucanthemum vulgare''	bul	маргаритка	f
eng	oxeye daisy	Noun	tr	flower, ''Leucanthemum vulgare''	bul	паричка	f
eng	oxeye daisy	Noun	tr	flower, ''Leucanthemum vulgare''	cat	margarida de prat	f
eng	oxeye daisy	Noun	tr	flower, ''Leucanthemum vulgare''	ces	kopretina	f
eng	oxeye daisy	Noun	tr	flower, ''Leucanthemum vulgare''	deu	Margerite	f
eng	oxeye daisy	Noun	tr	flower, ''Leucanthemum vulgare''	deu	Wucherblume	f
eng	oxeye daisy	Noun	tr	flower, ''Leucanthemum vulgare''	est	härjasilm
eng	oxeye daisy	Noun	tr	flower, ''Leucanthemum vulgare''	fao	margaritt	f
eng	oxeye daisy	Noun	tr	flower, ''Leucanthemum vulgare''	fin	päivänkakkara
eng	oxeye daisy	Noun	tr	flower, ''Leucanthemum vulgare''	fra	marguerite	f
eng	oxeye daisy	Noun	tr	flower, ''Leucanthemum vulgare''	gla	neòinean mòr	f
eng	oxeye daisy	Noun	tr	flower, ''Leucanthemum vulgare''	gmq-bot	solgangsblåmm	f
eng	oxeye daisy	Noun	tr	flower, ''Leucanthemum vulgare''	hun	margaréta
eng	oxeye daisy	Noun	tr	flower, ''Leucanthemum vulgare''	ita	margherita	f
eng	oxeye daisy	Noun	tr	flower, ''Leucanthemum vulgare''	nld	gewone margriet	m	f
eng	oxeye daisy	Noun	tr	flower, ''Leucanthemum vulgare''	nor	prestekrage
eng	oxeye daisy	Noun	tr	flower, ''Leucanthemum vulgare''	nrf	ièrs dé boeu	m-p
eng	oxeye daisy	Noun	tr	flower, ''Leucanthemum vulgare''	ron	margaretă	f
eng	oxeye daisy	Noun	tr	flower, ''Leucanthemum vulgare''	ron	mărgărită	f
eng	oxeye daisy	Noun	tr	flower, ''Leucanthemum vulgare''	slk	margaréta	f
eng	oxeye daisy	Noun	tr	flower, ''Leucanthemum vulgare''	swe	prästkrage
eng	oxeye daisy	Noun	tr	flower, ''Leucanthemum vulgare''	tur	beyaz ay papatyası
eng	oxeye	Noun	tr	''Anthemis arvensis''	fin	peltosauramo
eng	oxeye	Noun	tr	daisy-like flower	fin	päivänkakkara
eng	oxeye	Noun	tr	plant of the genus ''Buphthalmum''	fin	häränkukka
eng	oxeye	Noun	tr	plant of the genus ''Buphthalmum''	grc	βούφθαλμον	n
eng	oxgoad	Noun	tr	goad for driving oxen	ave	𐬔𐬀𐬎𐬎𐬁𐬰𐬀
eng	oxgoad	Noun	tr	goad for driving oxen	fas	گاوزنه	tr=gâvzane
eng	oxgoad	Noun	tr	goad for driving oxen	fas	گوازه	tr=gavāza
eng	oxgoad	Noun	tr	goad for driving oxen	grc	βούκεντρον	n
eng	oxgoad	Noun	tr	goad for driving oxen	heb	מַלְמַד הַבָּקָר	m
eng	oxgoad	Noun	tr	goad for driving oxen	mlg	misas
eng	oxgoad	Noun	tr	goad for driving oxen	spa	garrocha	f
eng	oxgoad	Noun	tr	goad for driving oxen	syc	ܦܪܫܐ	m
eng	oxherd	Noun	tr	person who herds oxen	bul	воловар	m
eng	oxherd	Noun	tr	person who herds oxen	deu	Ochsenhirte	m
eng	oxherd	Noun	tr	person who herds oxen	deu	Ochsenhirtin	f
eng	oxherd	Noun	tr	person who herds oxen	deu	Ochsenhirt	m
eng	oxherd	Noun	tr	person who herds oxen	enm	oxeherde
eng	oxhide	Noun	tr	hide	bul	волска кожа	f
eng	oxhide	Noun	tr	hide	fin	häräntalja
eng	oxhide	Noun	tr	hide	nld	ossenhuid	c
eng	oxhide	Noun	tr	hide	rus	воловья шкура
eng	oxhide	Noun	tr	hide	swe	oxhud	c
eng	oxhide	Noun	tr	leather	bul	гьон	m
eng	oxhide	Noun	tr	leather	fin	härännahka
eng	oxia	Noun	tr	Ancient Greek diacritic marking high or rising pitch	ell	οξεία	f
eng	oxia	Noun	tr	Ancient Greek diacritic marking high or rising pitch	grc	ὀξεῖᾰ	f
eng	oxidant	Noun	tr	oxidizing agent	cmn	氧化剂	tr=yǎnghuàjì	sc=Hani
eng	oxidant	Noun	tr	oxidizing agent	cmn	氧化劑	sc=Hani
eng	oxidant	Noun	tr	oxidizing agent	fin	oksidantti
eng	oxidant	Noun	tr	oxidizing agent	fra	oxydant	m
eng	oxidant	Noun	tr	oxidizing agent	hun	oxidálószer
eng	oxidant	Noun	tr	oxidizing agent	hun	oxidáns
eng	oxidant	Noun	tr	oxidizing agent	ita	ossidante	m
eng	oxidant	Noun	tr	oxidizing agent	jpn	オキシダント	tr=okushidanto
eng	oxidant	Noun	tr	oxidizing agent	rus	окисли́тель	m
eng	oxidase	Noun	tr	oxidase enzyme	cmn	氧化酶	tr=yǎnghuàméi
eng	oxidase	Noun	tr	oxidase enzyme	deu	Oxidase	f
eng	oxidase	Noun	tr	oxidase enzyme	fin	oksidaasi
eng	oxidase	Noun	tr	oxidase enzyme	fra	oxydase	f
eng	oxidase	Noun	tr	oxidase enzyme	ita	ossidasi	f
eng	oxidase	Noun	tr	oxidase enzyme	yue	氧化酶	tr=joeng5 faa3 mui4
eng	oxidation	Noun	tr	chemical reaction	bul	окисление	n
eng	oxidation	Noun	tr	chemical reaction	ces	oxidace	f
eng	oxidation	Noun	tr	chemical reaction	cmn	氧化作用	tr=yǎnghuà zuòyòng	sc=Hani
eng	oxidation	Noun	tr	chemical reaction	deu	Oxidation	f
eng	oxidation	Noun	tr	chemical reaction	fin	hapetus
eng	oxidation	Noun	tr	chemical reaction	fra	oxydation	f
eng	oxidation	Noun	tr	chemical reaction	hin	रेडॉक्स	sc=Deva
eng	oxidation	Noun	tr	chemical reaction	hun	oxidáció
eng	oxidation	Noun	tr	chemical reaction	jpn	酸化	tr=さんか, sanka
eng	oxidation	Noun	tr	chemical reaction	kir	оксидирлөө	sc=Cyrl
eng	oxidation	Noun	tr	chemical reaction	kor	산화
eng	oxidation	Noun	tr	chemical reaction	kor	酸化
eng	oxidation	Noun	tr	chemical reaction	mri	ōhikitanga
eng	oxidation	Noun	tr	chemical reaction	nld	oxidatie
eng	oxidation	Noun	tr	chemical reaction	nno	oksidasjon	m
eng	oxidation	Noun	tr	chemical reaction	nob	oksidasjon	m
eng	oxidation	Noun	tr	chemical reaction	pol	utlenianie	n
eng	oxidation	Noun	tr	chemical reaction	por	oxidação	f
eng	oxidation	Noun	tr	chemical reaction	rus	окисле́ние	n
eng	oxidation	Noun	tr	chemical reaction	rus	оксида́ция	f
eng	oxidation	Noun	tr	chemical reaction	tgl	oksidasyon
eng	oxidation	Noun	tr	chemical reaction	tur	oksitlenme
eng	oxidation	Noun	tr	chemical reaction	xal	исән
eng	oxidation	Noun	tr	combination of a substance with oxygen	bul	окисление	n
eng	oxidation	Noun	tr	combination of a substance with oxygen	ces	oxidace	f
eng	oxidation	Noun	tr	combination of a substance with oxygen	cmn	氧化	tr=yǎnghuà	sc=Hani
eng	oxidation	Noun	tr	combination of a substance with oxygen	deu	Oxidation	f
eng	oxidation	Noun	tr	combination of a substance with oxygen	deu	Oxydation	f
eng	oxidation	Noun	tr	combination of a substance with oxygen	fin	hapettuminen
eng	oxidation	Noun	tr	combination of a substance with oxygen	fra	oxydation	f
eng	oxidation	Noun	tr	combination of a substance with oxygen	hun	oxidálás
eng	oxidation	Noun	tr	combination of a substance with oxygen	ita	ossidazione	f
eng	oxidation	Noun	tr	combination of a substance with oxygen	jpn	酸化	tr=さんか, sanka
eng	oxidation	Noun	tr	combination of a substance with oxygen	kir	оксидирлөө	sc=Cyrl
eng	oxidation	Noun	tr	combination of a substance with oxygen	kor	산화
eng	oxidation	Noun	tr	combination of a substance with oxygen	kor	酸化
eng	oxidation	Noun	tr	combination of a substance with oxygen	mri	ōhikitanga
eng	oxidation	Noun	tr	combination of a substance with oxygen	por	oxidação
eng	oxidation	Noun	tr	combination of a substance with oxygen	rus	окисле́ние	n
eng	oxidation	Noun	tr	combination of a substance with oxygen	rus	оксида́ция	f
eng	oxidation	Noun	tr	combination of a substance with oxygen	spa	oxidación	f
eng	oxidation	Noun	tr	combination of a substance with oxygen	tgl	oksidasyon
eng	oxidation	Noun	tr	combination of a substance with oxygen	tur	paslanma
eng	oxidation	Noun	tr	combination of a substance with oxygen	xal	исән
eng	oxidation number	Noun	tr	chemistry	ces	oxidační číslo	n
eng	oxidation number	Noun	tr	chemistry	dan	oxidationstal	n
eng	oxidation number	Noun	tr	chemistry	deu	Oxidationszahl	f
eng	oxidation number	Noun	tr	chemistry	fin	hapetusluku
eng	oxidation number	Noun	tr	chemistry	swe	oxidationstal	n
eng	oxidation number	Noun	tr	chemistry	tgl	bilang ng sadagisik
eng	oxidation state	Noun	tr	the state of an atom having a particular oxidation number	fin	hapetusaste
eng	oxidation state	Noun	tr	the state of an atom having a particular oxidation number	ita	numero di ossidazione	m
eng	oxidation state	Noun	tr	the state of an atom having a particular oxidation number	ita	stato di ossidazione	m
eng	oxidation state	Noun	tr	the state of an atom having a particular oxidation number	tgl	sadagisiking himtang
eng	oxidative	Adjective	tr	Relating to oxidation	fra	oxydatif
eng	oxidative	Adjective	tr	Relating to oxidation	hun	oxidatív
eng	oxidative	Adjective	tr	Relating to oxidation	ita	ossidativo
eng	oxidative	Adjective	tr	Relating to oxidation	por	oxidativo
eng	oxidative	Adjective	tr	Relating to oxidation	spa	oxidativo
eng	oxide	Noun	tr	binary compound of oxygen	ara	أُكْسِيد	m
eng	oxide	Noun	tr	binary compound of oxygen	bul	оксид	m
eng	oxide	Noun	tr	binary compound of oxygen	cat	òxid	m
eng	oxide	Noun	tr	binary compound of oxygen	ces	kysličník	m
eng	oxide	Noun	tr	binary compound of oxygen	ces	oxid	m
eng	oxide	Noun	tr	binary compound of oxygen	cmn	氧化物	tr=yǎnghuàwù
eng	oxide	Noun	tr	binary compound of oxygen	dan	oxid	c
eng	oxide	Noun	tr	binary compound of oxygen	deu	Oxid	n
eng	oxide	Noun	tr	binary compound of oxygen	ell	οξείδιο	n
eng	oxide	Noun	tr	binary compound of oxygen	epo	oksido
eng	oxide	Noun	tr	binary compound of oxygen	fas	اکسید	tr=oksid
eng	oxide	Noun	tr	binary compound of oxygen	fin	oksidi
eng	oxide	Noun	tr	binary compound of oxygen	fra	oxyde	m
eng	oxide	Noun	tr	binary compound of oxygen	gla	ogsaid	m
