	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	igil	Noun	tr	musical instrument	zho	叶克勒	tr=yèkèlè
eng	igil	Noun	tr	musical instrument	zho	葉克勒
eng	igloo	Noun	tr	Inuit snow house	asm	ইগ্লো
eng	igloo	Noun	tr	Inuit snow house	ast	iglú	m
eng	igloo	Noun	tr	Inuit snow house	bod	ཁྱགས་རོམ་ཁང་པ
eng	igloo	Noun	tr	Inuit snow house	bul	иглу	n
eng	igloo	Noun	tr	Inuit snow house	cat	iglú	m
eng	igloo	Noun	tr	Inuit snow house	ces	iglú	n
eng	igloo	Noun	tr	Inuit snow house	cmn	伊格魯
eng	igloo	Noun	tr	Inuit snow house	cmn	伊格鲁	tr=īgélǔ
eng	igloo	Noun	tr	Inuit snow house	cmn	冰屋	tr=bīngwū
eng	igloo	Noun	tr	Inuit snow house	cre	ᐄᔅᒌᒣᐅᑲᒥᒄ
eng	igloo	Noun	tr	Inuit snow house	cym	iglw	m
eng	igloo	Noun	tr	Inuit snow house	cym	tŷ iâ	m
eng	igloo	Noun	tr	Inuit snow house	cym	tŷ rhew	m
eng	igloo	Noun	tr	Inuit snow house	dan	iglo	c
eng	igloo	Noun	tr	Inuit snow house	deu	Iglu	m	n
eng	igloo	Noun	tr	Inuit snow house	deu	Schneehaus	n
eng	igloo	Noun	tr	Inuit snow house	deu	Schneehütte	f
eng	igloo	Noun	tr	Inuit snow house	ell	ιγκλού	n
eng	igloo	Noun	tr	Inuit snow house	epo	iglo
eng	igloo	Noun	tr	Inuit snow house	esu	aniguyaq
eng	igloo	Noun	tr	Inuit snow house	fao	iglo	f
eng	igloo	Noun	tr	Inuit snow house	fin	iglu
eng	igloo	Noun	tr	Inuit snow house	fra	igloo	m
eng	igloo	Noun	tr	Inuit snow house	fra	iglou	m
eng	igloo	Noun	tr	Inuit snow house	gla	taigh-sneachda	m
eng	igloo	Noun	tr	Inuit snow house	glg	iglú	m
eng	igloo	Noun	tr	Inuit snow house	heb	איגלו	m	tr=íglu
eng	igloo	Noun	tr	Inuit snow house	hin	इगलू	m
