	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Diana monkey	Noun	tr	''Cercopithecus diana''	fin	dianamarakatti
eng	Diana	Proper noun	tr	female given name	ces	Diana	f
eng	Diana	Proper noun	tr	female given name	cmn	戴安娜	tr=Dài'ānnà	sc=Hani
eng	Diana	Proper noun	tr	female given name	cop	ⲇⲓⲁⲛⲏ
eng	Diana	Proper noun	tr	female given name	dan	Diana
eng	Diana	Proper noun	tr	female given name	deu	Diana	f
eng	Diana	Proper noun	tr	female given name	est	Diana
eng	Diana	Proper noun	tr	female given name	fra	Diane	f
eng	Diana	Proper noun	tr	female given name	glg	Diana	f
eng	Diana	Proper noun	tr	female given name	heb	דיאנה	f
eng	Diana	Proper noun	tr	female given name	ita	Diana
eng	Diana	Proper noun	tr	female given name	jpn	ダイアナ	tr=Daiana
eng	Diana	Proper noun	tr	female given name	lav	Diāna	f
eng	Diana	Proper noun	tr	female given name	nor	Diana	f
eng	Diana	Proper noun	tr	female given name	por	Diana	f
eng	Diana	Proper noun	tr	female given name	rus	Дайа́на	f
eng	Diana	Proper noun	tr	female given name	rus	Диа́на	f
eng	Diana	Proper noun	tr	female given name	spa	Diana	f
eng	Diana	Proper noun	tr	female given name	swe	Diana
eng	Diana	Proper noun	tr	Roman goddess	ces	Diana	f
eng	Diana	Proper noun	tr	Roman goddess	cop	ⲇⲓⲁⲛⲏ
eng	Diana	Proper noun	tr	Roman goddess	dan	Diana
eng	Diana	Proper noun	tr	Roman goddess	deu	Diana	f
eng	Diana	Proper noun	tr	Roman goddess	ell	Άρτεμις	f
eng	Diana	Proper noun	tr	Roman goddess	est	Diana
eng	Diana	Proper noun	tr	Roman goddess	fra	Diane	f
eng	Diana	Proper noun	tr	Roman goddess	ita	Diana
eng	Diana	Proper noun	tr	Roman goddess	jpn	ダイアナ	tr=Daiana
eng	Diana	Proper noun	tr	Roman goddess	lav	Diāna	f
eng	Diana	Proper noun	tr	Roman goddess	nld	Diana	f
eng	Diana	Proper noun	tr	Roman goddess	por	Diana	f
eng	Diana	Proper noun	tr	Roman goddess	rus	Диа́на	f
eng	Diana	Proper noun	tr	Roman goddess	spa	Diana	f
eng	Diana	Proper noun	tr	Roman goddess	swe	Diana
eng	Diana	Proper noun	tr	Roman goddess	vie	thần Đi-anh
eng	Dianbai	Proper noun	tr		cmn	电白	tr=Diànbái
eng	Dianbai	Proper noun	tr		cmn	電白
eng	Dianbai	Proper noun	tr		yue	电白	tr=din6 baak6
eng	Dianbai	Proper noun	tr		yue	電白
eng	Dianetic	Adjective	tr	of or pertaining to Dianetics	fra	dianétique
eng	Dianetic	Adjective	tr	of or pertaining to Dianetics	spa	dianético
eng	Dianetics	Noun	tr	self-help system now used in Scientology	dan	dianetik	c
eng	Dianetics	Noun	tr	self-help system now used in Scientology	epo	dianetiko
eng	Dianetics	Noun	tr	self-help system now used in Scientology	fin	dianetiikka
eng	Dianetics	Noun	tr	self-help system now used in Scientology	fra	dianétique	f
eng	Dianetics	Noun	tr	self-help system now used in Scientology	spa	dianética	f
eng	Dianic Wicca	Proper noun	tr	branch of Wicca	spa	wicca diánica	f
eng	Dianjiang	Proper noun	tr	county	cmn	垫江	tr=Diànjiāng	sc=Hani
eng	Dianjiang	Proper noun	tr	county	cmn	墊江	sc=Hani
eng	Dianjun	Proper noun	tr	district in central China; subdistrict in central China	cmn	点军	tr=Diǎnjūn	sc=Hani
eng	Dianjun	Proper noun	tr	district in central China; subdistrict in central China	cmn	點軍	sc=Hani
eng	Dickensian	Adjective	tr	of or pertaining to Charles Dickens or his writings	ces	dickensovský
eng	Dickensian	Adjective	tr	of or pertaining to Charles Dickens or his writings	fin	dickensiläinen
eng	Dickensian	Adjective	tr	of or pertaining to Charles Dickens or his writings	fra	dickensien
eng	Dickensian	Adjective	tr	reminiscent of Dickens' writings	ell	ντικενσιανό	n
eng	Dickensian	Adjective	tr	reminiscent of Dickens' writings	fin	dickensiläinen
eng	Dickens	Proper noun	tr	Transliterations of the surname	cmn	狄更斯	tr=Dígèngsī	sc=Hani
eng	Dickens	Proper noun	tr	Transliterations of the surname	jpn	ディケンズ	tr=Dikenzu	sc=Jpan
eng	Dickens	Proper noun	tr	Transliterations of the surname	pol	Dickens	m
eng	Dickens	Proper noun	tr	Transliterations of the surname	rus	Ди́ккенс
eng	Didenheim	Proper noun	tr	village in eastern France	gsw	Didena	n
eng	Dido	Proper noun	tr	founder of Carthage	fra	Didon	f
eng	Dido	Proper noun	tr	founder of Carthage	grc	Διδώ	f
eng	Dido	Proper noun	tr	founder of Carthage	ita	Didone	f
eng	Dido	Proper noun	tr	founder of Carthage	rus	Дидо́на	f
eng	Dido	Proper noun	tr	founder of Carthage	slk	Dido	f
eng	Didot point	Noun	tr	former point size	hun	Didot-pont
eng	Didymoteicho	Proper noun	tr	city	bul	Димотика
eng	Didymoteicho	Proper noun	tr	city	cat	Demòtica
eng	Didymoteicho	Proper noun	tr	city	deu	Didymoticho
eng	Didymoteicho	Proper noun	tr	city	ell	Διδυμότειχο	f
eng	Didymoteicho	Proper noun	tr	city	fin	Didymoteicho
eng	Didymoteicho	Proper noun	tr	city	fra	Didymotique
eng	Didymoteicho	Proper noun	tr	city	hbs	Дидимотика	tr=Didimotika	sc=Cyrl
eng	Didymoteicho	Proper noun	tr	city	heb	דידימוטיכו	sc=Hebr
eng	Didymoteicho	Proper noun	tr	city	ita	Didymoteicho
eng	Didymoteicho	Proper noun	tr	city	ron	Didymoteicho
eng	Didymoteicho	Proper noun	tr	city	rus	Дидимотика
eng	Didymoteicho	Proper noun	tr	city	tur	Dimetoka
eng	Diego	Proper noun	tr	male given name	cmn	迭戈	tr=Diégē	sc=Hani
eng	Diego	Proper noun	tr	male given name	epo	Diego
eng	Diego	Proper noun	tr	male given name	epo	Jakobo
eng	Diego	Proper noun	tr	male given name	fas	دیگو	tr=diego
eng	Diego	Proper noun	tr	male given name	jpn	ディエゴ	tr=Diego
eng	Diego	Proper noun	tr	male given name	lat	Didacus	m
eng	Diego	Proper noun	tr	male given name	pol	Diego	m
eng	Diego	Proper noun	tr	male given name	por	Diogo	m
eng	Diego	Proper noun	tr	male given name	rus	Дие́го	m
eng	Diego	Proper noun	tr	male given name	spa	Diego
eng	Diekirch	Proper noun	tr	city	deu	Diekirch
eng	Diekirch	Proper noun	tr	city	fra	Diekirch
eng	Diekirch	Proper noun	tr	city	ltz	Dikrech
eng	Diels-Alder reaction	Noun	tr	cycloaddition reaction between a conjugated diene and an alkene	deu	Diels-Alder-Reaktion	f
eng	Diels-Alder reaction	Noun	tr	cycloaddition reaction between a conjugated diene and an alkene	hun	Diels–Alder-reakció
eng	Dien Bien Phu	Proper noun	tr	Dien Bien	fra	Diên Biên
eng	Dien Bien Phu	Proper noun	tr	Dien Bien	jpn	ディエンビエン
eng	Dien Bien Phu	Proper noun	tr	Dien Bien	jpn	奠邊
eng	Dien Bien Phu	Proper noun	tr	Dien Bien Phu	fra	Diên Biên Phu
eng	Dien Bien Phu	Proper noun	tr	Dien Bien Phu	jpn	ディエンビエンフー
eng	Dien Bien Phu	Proper noun	tr	Dien Bien Phu	jpn	奠邊府
eng	Dien Bien Phu	Proper noun	tr	Dien Bien Phu	vie	Điện Biên Phủ
eng	Dien Bien Phu	Proper noun	tr	Dien Bien Phu	vie	奠邊府
eng	Dien Bien Phu	Proper noun	tr	Dien Bien Phu	zho	奠边府
eng	Dien Bien Phu	Proper noun	tr	Dien Bien Phu	zho	奠邊府
eng	Dien Bien Phu	Proper noun	tr	Dien Bien	vie	Điện Biên
eng	Dien Bien Phu	Proper noun	tr	Dien Bien	vie	奠邊
eng	Dien Bien Phu	Proper noun	tr	Dien Bien	zho	奠邊
eng	Dien Bien	Proper noun	tr	Dien Bien	fra	Diên Biên
eng	Dien Bien	Proper noun	tr	Dien Bien	jpn	ディエンビエン
eng	Dien Bien	Proper noun	tr	Dien Bien	jpn	奠邊
eng	Dien Bien	Proper noun	tr	Dien Bien Province	jpn	ディエンビエン省
eng	Dien Bien	Proper noun	tr	Dien Bien Province	jpn	奠邊省
eng	Dien Bien	Proper noun	tr	Dien Bien Province	vie	Tỉnh Điện Biên
eng	Dien Bien	Proper noun	tr	Dien Bien Province	vie	省奠邊
eng	Dien Bien	Proper noun	tr	Dien Bien Province	zho	奠邊省
eng	Dien Bien	Proper noun	tr	Dien Bien	vie	Điện Biên
eng	Dien Bien	Proper noun	tr	Dien Bien	vie	奠邊
eng	Dien Bien	Proper noun	tr	Dien Bien	zho	奠邊
eng	Dieri	Proper noun	tr	language	rus	диери	tr=
eng	Dieselgate	Proper noun	tr	Volkswagen emissions scandal	nld	dieselgate	m
eng	Dieselgate	Proper noun	tr	Volkswagen emissions scandal	nld	Dieselgate	m
