	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Gêrzê	Proper noun	tr	county; town	bod	སྒེར་རྩེ་	sc=
eng	Gêrzê	Proper noun	tr	county; town	cmn	改则	tr=Gǎizé	sc=Hani
eng	Gêrzê	Proper noun	tr	county; town	cmn	改則	sc=Hani
