eng	xanthoma	Noun	tr	small yellow nodule	fin	ksantooma
eng	xanthomous	Adjective	tr	of or pertaining to a xanthoma	ita	xantomatoso
eng	xanthophore	Noun	tr		ita	xantoforo	m
eng	xanthous	Adjective	tr	yellow-brown	bul	жълт
eng	xanthous	Adjective	tr	yellow-brown	fin	kellanruskea
eng	xanthous	Adjective	tr	yellow-brown	fra	ochracé
eng	xanthous	Adjective	tr	yellow-brown	fra	ocre
eng	xanthous	Adjective	tr	yellow-brown	nor	gusten
eng	xanthous	Adjective	tr	yellow-brown	pol	żółtobrązowy	m
eng	xanthous	Adjective	tr	yellow-brown	rus	жёлтый
eng	xanthous	Adjective	tr	yellow-brown	spa	ocre
eng	Xavánte	Noun	tr	one of the Xavánte people	por	xavante	m	f
eng	Xavánte	Proper noun	tr	language	por	xavante	m
eng	Xavier	Proper noun	tr	male given name	arg	Chabier
eng	Xavier	Proper noun	tr	male given name	cat	Xavier
eng	Xavier	Proper noun	tr	male given name	ces	Xaver
eng	Xavier	Proper noun	tr	male given name	deu	Xaver
eng	Xavier	Proper noun	tr	male given name	ell	Ξαβέρης
eng	Xavier	Proper noun	tr	male given name	ell	Ξαβέριος
eng	Xavier	Proper noun	tr	male given name	epo	Ksavero
eng	Xavier	Proper noun	tr	male given name	eus	Xabier
eng	Xavier	Proper noun	tr	male given name	fra	Xavier
eng	Xavier	Proper noun	tr	male given name	glg	Xavier
eng	Xavier	Proper noun	tr	male given name	hbs	Ksaverij
eng	Xavier	Proper noun	tr	male given name	hun	Xavér
eng	Xavier	Proper noun	tr	male given name	iku	ᐃᒃᓵᕕᐊᕐ
eng	Xavier	Proper noun	tr	male given name	ita	Saverio
eng	Xavier	Proper noun	tr	male given name	jpn	エグゼビア	tr=Eguzebia
eng	Xavier	Proper noun	tr	male given name	jpn	グザヴィエ	tr=Guzevie
eng	Xavier	Proper noun	tr	male given name	jpn	ザビエ	tr=Zabie
eng	Xavier	Proper noun	tr	male given name	jpn	シャビエル	tr=Shabieru
eng	Xavier	Proper noun	tr	male given name	lat	Xaverius
eng	Xavier	Proper noun	tr	male given name	nld	Xaverius
eng	Xavier	Proper noun	tr	male given name	pol	Ksawery
eng	Xavier	Proper noun	tr	male given name	por	Xavier
eng	Xavier	Proper noun	tr	male given name	ron	Xaveriu
eng	Xavier	Proper noun	tr	male given name	rus	Ксаве́рий
eng	Xavier	Proper noun	tr	male given name	slk	Xaver
eng	Xavier	Proper noun	tr	male given name	spa	Javier
eng	Xavier	Proper noun	tr	male given name	swe	Xavier
eng	Xavier	Proper noun	tr	male given name	vie	Xaviê
eng	Xavier	Proper noun	tr	male given name	wln	Zavî
eng	Xayar	Proper noun	tr	county	cmn	沙雅	tr=Shāyǎ	sc=Hani
eng	Xayar	Proper noun	tr	county	kor	사야
eng	Xayar	Proper noun	tr	county	uig	شايار	sc=ug-Arab
