eng	wrangle	Noun	tr	angry dispute	swe	munhuggande
eng	wrangle	Verb	tr	to bicker	deu	rangeln
eng	wrangle	Verb	tr	to bicker	deu	streiten
eng	wrangle	Verb	tr	to bicker	fin	kiistellä
eng	wrangle	Verb	tr	to bicker	fin	rähistä
eng	wrangle	Verb	tr	to bicker	fin	riidellä
eng	wrangle	Verb	tr	to bicker	fin	torailla
eng	wrangle	Verb	tr	to bicker	fra	disputer
eng	wrangle	Verb	tr	to bicker	fra	quereller
eng	wrangle	Verb	tr	to bicker	hun	civakodik
eng	wrangle	Verb	tr	to bicker	hun	pörlekedik
eng	wrangle	Verb	tr	to bicker	hun	veszekedik
eng	wrangle	Verb	tr	to bicker	mri	rure
eng	wrangle	Verb	tr	to bicker	mri	taungaungau
eng	wrangle	Verb	tr	to bicker	nds-de	wrangeln
eng	wrangle	Verb	tr	to bicker	oci	carpinhar
eng	wrangle	Verb	tr	to bicker	oci	disputar
eng	wrangle	Verb	tr	to bicker	pol	kłócić się
eng	wrangle	Verb	tr	to bicker	pol	spierać
eng	wrangle	Verb	tr	to bicker	por	disputar
eng	wrangle	Verb	tr	to bicker	rus	вздо́рить	impf	sc=Cyrl
eng	wrangle	Verb	tr	to bicker	rus	пререка́ться	impf	sc=Cyrl
eng	wrangle	Verb	tr	to bicker	rus	спо́рить	impf	sc=Cyrl
eng	wrangle	Verb	tr	to bicker	swe	gräla
eng	wrangle	Verb	tr	to bicker	swe	käbbla
eng	wrangle	Verb	tr	to bicker	swe	munhuggas
eng	wrangle	Verb	tr	to embroil, quarrel	deu	rangeln
eng	wrangle	Verb	tr	to embroil, quarrel	grc	ἐρίζω
eng	wrangle	Verb	tr	to embroil, quarrel	spa	reñir
eng	wrangle	Verb	tr	to herd livestock	deu	treiben
eng	wrangle	Verb	tr	to herd livestock	fin	paimentaa
eng	wrangle	Verb	tr	to herd livestock	por	pastorar
eng	wrangle	Verb	tr	to herd livestock	swe	driva
eng	wrangle	Verb	tr	to herd livestock	swe	leda
eng	wrangle	Verb	tr	to herd livestock	swe	valla
eng	wrap around one's little finger	Verb	tr	to successfully control or influence	ces	omotat si kolem prstu
eng	wrap around one's little finger	Verb	tr	to successfully control or influence	deu	um den Finger wickeln
eng	wrap around one's little finger	Verb	tr	to successfully control or influence	deu	um den kleinen Finger wickeln
eng	wrap around one's little finger	Verb	tr	to successfully control or influence	fin	kietoa pikkusormensa ympärille
eng	wrap around one's little finger	Verb	tr	to successfully control or influence	fra	mener quelqu'un par le bout du nez
eng	wrap around one's little finger	Verb	tr	to successfully control or influence	hun	kisujja köré csavar
eng	wrap around one's little finger	Verb	tr	to successfully control or influence	hun	ujja köré csavar
eng	wrap around one's little finger	Verb	tr	to successfully control or influence	hye	մատի վրա խաղացնել	sc=Armn
eng	wrap around one's little finger	Verb	tr	to successfully control or influence	nld	om zijn/haar vinger winden
