	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Bà Rịa - Vũng Tàu	Proper noun	tr	province of Vietnam	vie	Bà Rịa - Vũng Tàu
