	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Liangping	Proper noun	tr	district	cmn	梁平	sc=Hani
eng	Liangyuan	Proper noun	tr	district	cmn	梁园	sc=Hani
eng	Liangyuan	Proper noun	tr	district	cmn	梁園	sc=Hani
eng	Liangzihu	Proper noun	tr	district in central China	cmn	梁子湖	tr=Liángzihú	sc=Hani
eng	Lianhu	Proper noun	tr	district	cmn	莲湖	sc=Hani
eng	Lianhu	Proper noun	tr	district	cmn	蓮湖	sc=Hani
eng	Lianjiang	Proper noun	tr	county in eastern China; town in eastern China ; alternate form of Lienchiang (Matsu Islands)	cmn	连江	tr=Liánjiāng	sc=Hani
eng	Lianjiang	Proper noun	tr	county in eastern China; town in eastern China ; alternate form of Lienchiang (Matsu Islands)	cmn	連江	sc=Hani
eng	Lianjiang	Proper noun	tr	county in eastern China; town in eastern China ; alternate form of Lienchiang (Matsu Islands)	nan	連江	tr=Liân-kang	sc=Hani
eng	Lianjiang	Proper noun	tr	county-level city in southern China	cmn	廉江	tr=Liánjiāng	sc=Hani
eng	Lianjiang	Proper noun	tr	former township in Sichuan	cmn	联江	tr=Liánjiāng	sc=Hani
eng	Lianjiang	Proper noun	tr	former township in Sichuan	cmn	聯江	sc=Hani
eng	Lianjiang	Proper noun	tr	town in Jiangxi	cmn	潋江	tr=Liànjiāng	sc=Hani
eng	Lianjiang	Proper noun	tr	town in Jiangxi	cmn	瀲江	sc=Hani
eng	Lianjiang	Proper noun	tr	village in Guangxi	cmn	練江	sc=Hani
eng	Lianjiang	Proper noun	tr	village in Guangxi	cmn	练江	tr=Liànjiāng	sc=Hani
eng	Lianyungang	Proper noun	tr	a prefecture-level city in eastern China	cmn	连云港	tr=Liányúngǎng	sc=Hani
eng	Lianyungang	Proper noun	tr	a prefecture-level city in eastern China	cmn	連雲港	sc=Hani
eng	Liaocheng	Proper noun	tr	prefecture-level city in China	cmn	聊城	tr=Liáochéng	sc=Hani
eng	Liaocheng	Proper noun	tr	prefecture-level city in China	hun	Liaocseng
eng	Liaodong Peninsula	Proper noun	tr	peninsula in Liaoning province	cmn	辽东半岛	tr=Liáodōng Bàndǎo
eng	Liaodong Peninsula	Proper noun	tr	peninsula in Liaoning province	cmn	遼東半島
eng	Liaodong Peninsula	Proper noun	tr	peninsula in Liaoning province	kor	요동반도
eng	Liaodong Peninsula	Proper noun	tr	peninsula in Liaoning province	kor	遼東半島	sc=Hani
eng	Liaodong Peninsula	Proper noun	tr	peninsula in Liaoning province	mnc	ᠯᡳᠶᠣᠣᡩᡠᠩ
eng	Liaodong	Proper noun	tr	region	cmn	辽东	tr=Liáodōng	sc=Hani
eng	Liaodong	Proper noun	tr	region	cmn	遼東	sc=Hani
eng	Liaoning	Proper noun	tr	province of China	ara	لْيَاوْنِينْغ	m	tr=lyawninḡ
eng	Liaoning	Proper noun	tr	province of China	bod	ལའུ་ཉིང་ཞིང་ཆེན
eng	Liaoning	Proper noun	tr	province of China	ces	Liao-ning
eng	Liaoning	Proper noun	tr	province of China	cmn	辽宁	tr=Liáoníng
eng	Liaoning	Proper noun	tr	province of China	cmn	遼寧
eng	Liaoning	Proper noun	tr	province of China	hun	Liaoning
eng	Liaoning	Proper noun	tr	province of China	hye	Լյաոնին
eng	Liaoning	Proper noun	tr	province of China	jpn	遼寧	tr=りょうねい, Ryōnei
eng	Liaoning	Proper noun	tr	province of China	kat	ლიაონინი
eng	Liaoning	Proper noun	tr	province of China	kor	료녕
eng	Liaoning	Proper noun	tr	province of China	kor	요녕
eng	Liaoning	Proper noun	tr	province of China	kor	^랴오닝
eng	Liaoning	Proper noun	tr	province of China	lav	Liaonina
eng	Liaoning	Proper noun	tr	province of China	lit	Liaoningas
eng	Liaoning	Proper noun	tr	province of China	mkd	Лиа́онинг
eng	Liaoning	Proper noun	tr	province of China	mon	Ляонин
eng	Liaoning	Proper noun	tr	province of China	mya	လျောင်းနင်
eng	Liaoning	Proper noun	tr	province of China	rus	Ляони́н	m
eng	Liaoning	Proper noun	tr	province of China	uig	لياۋنىڭ
eng	Liaoning	Proper noun	tr	province of China	ukr	Ляоні́н
eng	Liaoning	Proper noun	tr	province of China	vie	Liêu Ninh
eng	Liaoning	Proper noun	tr	province of China	yue	辽宁	tr=liu4 ning4
eng	Liaoning	Proper noun	tr	province of China	yue	遼寧
eng	Liaoning	Proper noun	tr	province of China	zha	Liuzningz
eng	Liao	Proper noun	tr	people group	cmn	僚	tr=Liáo	sc=Hani
eng	Liao	Proper noun	tr	river; dynasties; abbreviation	cmn	辽	tr=Liáo	sc=Hani
eng	Liao	Proper noun	tr	river; dynasties; abbreviation	cmn	遼	sc=Hani
eng	Liao	Proper noun	tr	surname	cmn	廖	tr=Liào	sc=Hani
eng	Liaoyang	Proper noun	tr	prefecture-level city of Liaoning, China	cmn	辽阳	tr=Liáoyáng
eng	Liaoyang	Proper noun	tr	prefecture-level city of Liaoning, China	cmn	遼陽
eng	Liberal	Adjective	tr	of or relating to Liberal party	ell	φιλελευθερισμός
eng	Liberal	Adjective	tr	of or relating to Liberal party	gla	Libearalach
eng	Liberal	Adjective	tr	of or relating to Liberal party	kat	ლიბერალ-დემოკრატიული
eng	Liberal	Adjective	tr	of or relating to Liberal party	kat	ლიბერალური
eng	Liberal	Adjective	tr	of or relating to Liberal party	swe	liberal
eng	Liberal	Noun	tr	A political party and its philosophy	mri	Rīpera
eng	Liberal	Noun	tr	UK Liberal Democrat	gla	Libearalach	m
eng	Liberal	Noun	tr	UK Liberal Democrat	kat	ლიბერალ-დემოკრატი
eng	Liberal	Noun	tr	UK Liberal Democrat	kat	ლიბერალი
eng	Liberal	Noun	tr	UK Liberal Democrat	mri	Rīpera
eng	Liberal Party	Proper noun	tr		fra	Parti libéral
eng	Liberdade	Proper noun	tr	the Japanese community in Brazil	jpn	リベルダージ	tr=Riberudāji	sc=Jpan
eng	Liberdade	Proper noun	tr	the Japanese community in Brazil	por	Liberdade	f
eng	Liberec	Proper noun	tr	city in the Czech Republic	ces	Liberec	m
eng	Liberec	Proper noun	tr	city in the Czech Republic	deu	Liberec	n
eng	Liberec	Proper noun	tr	city in the Czech Republic	deu	Reichenberg	n
eng	Liberec	Proper noun	tr	city in the Czech Republic	pol	Liberec	m
eng	Liberec	Proper noun	tr	city in the Czech Republic	rus	Ли́берец	m
eng	Liberec	Proper noun	tr	city in the Czech Republic	slk	Liberec	m
eng	Liberian	Adjective	tr	pertaining to Liberia	cat	liberià
eng	Liberian	Adjective	tr	pertaining to Liberia	ces	liberijský
eng	Liberian	Adjective	tr	pertaining to Liberia	deu	liberianisch
eng	Liberian	Adjective	tr	pertaining to Liberia	fin	liberialainen
eng	Liberian	Adjective	tr	pertaining to Liberia	gle	Libéarach
eng	Liberian	Adjective	tr	pertaining to Liberia	glg	liberiano
eng	Liberian	Adjective	tr	pertaining to Liberia	isl	líberískur
eng	Liberian	Adjective	tr	pertaining to Liberia	ita	liberico
eng	Liberian	Adjective	tr	pertaining to Liberia	nno	liberisk
eng	Liberian	Adjective	tr	pertaining to Liberia	nob	liberisk
eng	Liberian	Adjective	tr	pertaining to Liberia	pol	liberyjski
eng	Liberian	Adjective	tr	pertaining to Liberia	por	liberiano
eng	Liberian	Adjective	tr	pertaining to Liberia	ron	liberian
eng	Liberian	Adjective	tr	pertaining to Liberia	rus	либери́йский
eng	Liberian	Adjective	tr	pertaining to Liberia	spa	liberiano	m
eng	Liberian	Adjective	tr	pertaining to Liberia	swa	Kilberia
eng	Liberian	Adjective	tr	pertaining to Liberia	swa	Kiliberi
eng	Liberian	Adjective	tr	pertaining to Liberia	swe	liberiansk
eng	Liberian	Adjective	tr	pertaining to Liberia	swe	liberisk
eng	Liberian	Noun	tr	A person from Liberia	cat	liberià	m
eng	Liberian	Noun	tr	A person from Liberia	ces	Liberijec	m
eng	Liberian	Noun	tr	A person from Liberia	deu	Liberianerin	f
eng	Liberian	Noun	tr	A person from Liberia	deu	Liberianer	m
eng	Liberian	Noun	tr	A person from Liberia	fin	liberialainen
eng	Liberian	Noun	tr	A person from Liberia	fra	Libérien	m
eng	Liberian	Noun	tr	A person from Liberia	fra	Libérienne	f
eng	Liberian	Noun	tr	A person from Liberia	gle	Libéarach	m
eng	Liberian	Noun	tr	A person from Liberia	glg	liberiano	m
eng	Liberian	Noun	tr	A person from Liberia	isl	Líberíumaður	m
eng	Liberian	Noun	tr	A person from Liberia	ita	liberico	m
eng	Liberian	Noun	tr	A person from Liberia	lit	liberas	m
eng	Liberian	Noun	tr	A person from Liberia	lit	liberė	f
eng	Liberian	Noun	tr	A person from Liberia	nno	liberiar	m
eng	Liberian	Noun	tr	A person from Liberia	nob	liberier	m
eng	Liberian	Noun	tr	A person from Liberia	pol	Liberyjczyk	m
eng	Liberian	Noun	tr	A person from Liberia	pol	Liberyjka	f
eng	Liberian	Noun	tr	A person from Liberia	por	liberiano	m
eng	Liberian	Noun	tr	A person from Liberia	ron	liberiană	f
eng	Liberian	Noun	tr	A person from Liberia	ron	liberian	m
eng	Liberian	Noun	tr	A person from Liberia	rus	либери́ец	m
eng	Liberian	Noun	tr	A person from Liberia	rus	либери́йка	f
eng	Liberian	Noun	tr	A person from Liberia	spa	liberiano	m
eng	Liberian	Noun	tr	A person from Liberia	swa	Mliberi
eng	Liberian	Noun	tr	A person from Liberia	swa	Mliberia
eng	Liberia	Proper noun	tr	country in Western Africa	amh	ላይቤሪያ
eng	Liberia	Proper noun	tr	country in Western Africa	ara	لَيْبِيرْيَا	f
eng	Liberia	Proper noun	tr	country in Western Africa	ara	لِيبِيرِيَا	f	tr=libīriyā
eng	Liberia	Proper noun	tr	country in Western Africa	bel	Лібе́рыя	f
eng	Liberia	Proper noun	tr	country in Western Africa	ben	লাইবেরিয়া
eng	Liberia	Proper noun	tr	country in Western Africa	bre	Liberia
