	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Iyar	Proper noun	tr	month in the Jewish calendar	aii	ܐܝܪ	tr=iyyar	sc=Syrc
eng	Iyar	Proper noun	tr	month in the Jewish calendar	cat	iar	m
eng	Iyar	Proper noun	tr	month in the Jewish calendar	fas	ایار	tr=ayâr	sc=fa-Arab
eng	Iyar	Proper noun	tr	month in the Jewish calendar	heb	אייר	m	tr=iyár	alt=אִיָּר
eng	Iyar	Proper noun	tr	month in the Jewish calendar	syc	ܐܝܪ	tr=ˀīyār	sc=Syrc
eng	Iyar	Proper noun	tr	month in the Jewish calendar	yid	אייר	m	tr=iyer
