	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Claíomh Solais	Proper noun	tr	mythological sword	gla	claidheamh geal soluis
eng	Claíomh Solais	Proper noun	tr	mythological sword	gla	Claidheamh Soluis
eng	Claíomh Solais	Proper noun	tr	mythological sword	gle	Claíomh Solais
eng	Clara	Proper noun	tr	cognates and transliterations of the name Clara	cat	Clara
eng	Clara	Proper noun	tr	cognates and transliterations of the name Clara	ces	Klára
eng	Clara	Proper noun	tr	cognates and transliterations of the name Clara	dan	Clara
eng	Clara	Proper noun	tr	cognates and transliterations of the name Clara	deu	Clara
eng	Clara	Proper noun	tr	cognates and transliterations of the name Clara	deu	Klara
eng	Clara	Proper noun	tr	cognates and transliterations of the name Clara	epo	Klara
eng	Clara	Proper noun	tr	cognates and transliterations of the name Clara	fao	Klára	f
eng	Clara	Proper noun	tr	cognates and transliterations of the name Clara	fin	Klaara
eng	Clara	Proper noun	tr	cognates and transliterations of the name Clara	fra	Claire
eng	Clara	Proper noun	tr	cognates and transliterations of the name Clara	glg	Clara	f
eng	Clara	Proper noun	tr	cognates and transliterations of the name Clara	hun	Klára
eng	Clara	Proper noun	tr	cognates and transliterations of the name Clara	hye	Կլարա
eng	Clara	Proper noun	tr	cognates and transliterations of the name Clara	ita	Chiara
eng	Clara	Proper noun	tr	cognates and transliterations of the name Clara	ita	Clara	f
eng	Clara	Proper noun	tr	cognates and transliterations of the name Clara	jpn	クララ	tr=Kurara	sc=Jpan
eng	Clara	Proper noun	tr	cognates and transliterations of the name Clara	lit	Klerė	f
eng	Clara	Proper noun	tr	cognates and transliterations of the name Clara	mar	क्लारा	f
eng	Clara	Proper noun	tr	cognates and transliterations of the name Clara	mkd	Јасна	f
eng	Clara	Proper noun	tr	cognates and transliterations of the name Clara	nld	Klaartje
eng	Clara	Proper noun	tr	cognates and transliterations of the name Clara	nld	Klara
eng	Clara	Proper noun	tr	cognates and transliterations of the name Clara	nor	Klara
eng	Clara	Proper noun	tr	cognates and transliterations of the name Clara	por	Clara	f
eng	Clara	Proper noun	tr	cognates and transliterations of the name Clara	rus	Кла́ра	f
eng	Clara	Proper noun	tr	cognates and transliterations of the name Clara	slk	Klára	f
eng	Clara	Proper noun	tr	cognates and transliterations of the name Clara	spa	Clara
eng	Clara	Proper noun	tr	cognates and transliterations of the name Clara	swe	Klara
eng	Clara	Proper noun	tr	cognates and transliterations of the name Clara	zho	克莱尔
eng	Clara	Proper noun	tr	cognates and transliterations of the name Clara	zho	克萊爾
eng	Claremorris	Proper noun	tr	town in County Mayo	gle	Clár Chlainne Mhuiris	m
eng	Clarence	Proper noun	tr	ducal title	ben	ক্লারেন্স
eng	Clarence	Proper noun	tr	English surname	ben	ক্লারেন্স
eng	Clarence	Proper noun	tr	male given name	ben	ক্লারেন্স
eng	Clare	Proper noun	tr	county	gle	Contae an Chláir	m
eng	Clare	Proper noun	tr	county	glv	Coontae yn Chlaair	m
eng	Clare	Proper noun	tr	county	mkd	Клер	m
eng	Clare	Proper noun	tr	county	rus	Клэр	m
eng	Clare	Proper noun	tr	town in Ireland	mkd	Клер	m
eng	Clare	Proper noun	tr	town in Ireland	rus	Клэр	m
eng	Clarissa	Proper noun	tr	female given name	fra	Clarisse
eng	Clarissa	Proper noun	tr	female given name	pol	Klarysa	f
eng	Classical Arabic	Proper noun	tr	Classical Arabic	ara	اَلْفُصْحَى	f
eng	Classical Arabic	Proper noun	tr	Classical Arabic	ara	فُصْحَى اَلتُّرَاث	f
eng	Classical Arabic	Proper noun	tr	Classical Arabic	ces	klasická arabština	f
eng	Classical Arabic	Proper noun	tr	Classical Arabic	cmn	古典阿拉伯語	sc=Hani
eng	Classical Arabic	Proper noun	tr	Classical Arabic	cmn	古典阿拉伯语	tr=gǔdiǎn Ālābóyǔ	sc=Hani
eng	Classical Arabic	Proper noun	tr	Classical Arabic	deu	klassisches Arabisch	n
eng	Classical Arabic	Proper noun	tr	Classical Arabic	fin	klassinen arabia
eng	Classical Arabic	Proper noun	tr	Classical Arabic	fra	arabe classique	m
eng	Classical Arabic	Proper noun	tr	Classical Arabic	jpn	古典アラビア語	tr=koten Arabia-go
