	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Võro	Proper noun	tr	language	amh	ቮሮኛ
eng	Võro	Proper noun	tr	language	bre	Voroeg	m
eng	Võro	Proper noun	tr	language	bul	въ́ро	m
eng	Võro	Proper noun	tr	language	ces	võruština	n
eng	Võro	Proper noun	tr	language	cmn	佛罗语	tr=Fóluóyǔ	sc=Hani
eng	Võro	Proper noun	tr	language	cmn	佛羅語	sc=Hani
eng	Võro	Proper noun	tr	language	cmn	維魯語	sc=Hani
eng	Võro	Proper noun	tr	language	cmn	维鲁语	tr=Wéilǔyǔ	sc=Hani
eng	Võro	Proper noun	tr	language	deu	Võro	n
eng	Võro	Proper noun	tr	language	ell	Βόρο	m
eng	Võro	Proper noun	tr	language	est	võru keel
eng	Võro	Proper noun	tr	language	fas	زبان وورو	tr=zabân vuro
eng	Võro	Proper noun	tr	language	fin	võro
eng	Võro	Proper noun	tr	language	fin	võron kieli
eng	Võro	Proper noun	tr	language	fra	võro	m
eng	Võro	Proper noun	tr	language	glg	võro
eng	Võro	Proper noun	tr	language	hun	võro
eng	Võro	Proper noun	tr	language	jpn	ヴォロ語	tr=voro-go
eng	Võro	Proper noun	tr	language	kor	버로어
eng	Võro	Proper noun	tr	language	mkd	виру
eng	Võro	Proper noun	tr	language	nno	Sørestisk
eng	Võro	Proper noun	tr	language	nob	Sørestisk
eng	Võro	Proper noun	tr	language	rus	вы́ро	m
eng	Võro	Proper noun	tr	language	rus	вы́руский	m
eng	Võro	Proper noun	tr	language	tam	வோரோ மொழி
eng	Võro	Proper noun	tr	language	uzb	vorocha
eng	Võro	Proper noun	tr	language	vro	võro
eng	Võro	Proper noun	tr	language	vro	võro kiil
