eng	Dhammadassī	Proper noun	tr		cmn	法見佛	tr=Fǎjiàn Fó
eng	Dhammadassī	Proper noun	tr		khm	ធម្មទស្សី
eng	Dhammadassī	Proper noun	tr		khm	ព្រះពុទ្ធធម្មទស្សី
eng	Dhammadassī	Proper noun	tr		mya	ဓမ္မဒဿီ
eng	Dhammadassī	Proper noun	tr		mya	ဓမ္မဒဿီဘုရား
eng	Dhammadassī	Proper noun	tr		pli	Dhammadassī
eng	Dhammadassī	Proper noun	tr		san	धर्मदर्शिन्
eng	Dhammadassī	Proper noun	tr		sin	ධම්මදස්සි
eng	Dhammadassī	Proper noun	tr		tel	ధమ్మదస్సి
eng	Dhammadassī	Proper noun	tr		tel	ధర్మదర్శిన్
eng	Dhammadassī	Proper noun	tr		tha	ธัมมทัสสี
eng	Dhammadassī	Proper noun	tr		tha	พระธัมมทัสสีพุทธเจ้า
eng	Dhangadhi	Proper noun	tr	city	nep	धनगढी
eng	Dharamshala	Proper noun	tr		bod	རྡ་རམ་ས་ལ
eng	Dharamshala	Proper noun	tr		zho	達蘭薩拉
eng	Dharmic	Adjective	tr	Pertaining to the Dharma	fin	dharmalainen
eng	Dheerasankarabharanam	Proper noun	tr	a raga	kan	ಧೀರಶಂಕರಾಭರಣ
eng	Dheerasankarabharanam	Proper noun	tr	a raga	mal	ധീരശങ്കരാഭരണം
eng	Dheerasankarabharanam	Proper noun	tr	a raga	san	धीरशंकराभरणम्	tr=dhīraśaṅkarābharaṇam
eng	Dheerasankarabharanam	Proper noun	tr	a raga	tam	தீரசங்கராபரணம்
eng	Dheerasankarabharanam	Proper noun	tr	a raga	tel	ధీరశంకరాభరణం
eng	Dhenuka	Proper noun	tr	a raga	kan	ಧೇನುಕಾ
eng	Dhenuka	Proper noun	tr	a raga	san	धेनुका	tr=dhēnukā
eng	Dhenuka	Proper noun	tr	a raga	tam	தேனுக
eng	Dhenuka	Proper noun	tr	a raga	tel	ధేనుక
eng	Dhivehi	Noun	tr	an Indo-Aryan language	ara	لُغَة اَلدِّيفِيهِي	f	tr=luḡat ad-dīvēhī
eng	Dhivehi	Noun	tr	an Indo-Aryan language	arg	dhivehi
eng	Dhivehi	Noun	tr	an Indo-Aryan language	bre	diveheg
eng	Dhivehi	Noun	tr	an Indo-Aryan language	bul	дхивехи	sc=Cyrl
eng	Dhivehi	Noun	tr	an Indo-Aryan language	ces	divehi
eng	Dhivehi	Noun	tr	an Indo-Aryan language	cmn	迪維希語	sc=Hani
eng	Dhivehi	Noun	tr	an Indo-Aryan language	cmn	迪维希语	tr=Díwéixīyǔ	sc=Hani
eng	Dhivehi	Noun	tr	an Indo-Aryan language	cym	difehi
eng	Dhivehi	Noun	tr	an Indo-Aryan language	dan	maldivisk
eng	Dhivehi	Noun	tr	an Indo-Aryan language	deu	Dhivehi	n
eng	Dhivehi	Noun	tr	an Indo-Aryan language	deu	Maledivisch
eng	Dhivehi	Noun	tr	an Indo-Aryan language	div	ދިވެހި	sc=Thaa
eng	Dhivehi	Noun	tr	an Indo-Aryan language	fas	زبان دیوهی	tr=zabân divehi	sc=fa-Arab
eng	Dhivehi	Noun	tr	an Indo-Aryan language	fin	divehi
eng	Dhivehi	Noun	tr	an Indo-Aryan language	fra	divehi
eng	Dhivehi	Noun	tr	an Indo-Aryan language	hin	दिवॅही	f
eng	Dhivehi	Noun	tr	an Indo-Aryan language	hin	महल्
eng	Dhivehi	Noun	tr	an Indo-Aryan language	hin	मह्ल
eng	Dhivehi	Noun	tr	an Indo-Aryan language	hye	մալդիվերեն
eng	Dhivehi	Noun	tr	an Indo-Aryan language	ind	bahasa Divehi
eng	Dhivehi	Noun	tr	an Indo-Aryan language	ita	maldiviano	m
eng	Dhivehi	Noun	tr	an Indo-Aryan language	jpn	ディベヒ語	tr=Dibehi-go	sc=Jpan
eng	Dhivehi	Noun	tr	an Indo-Aryan language	kaz	дивехи	sc=Cyrl
eng	Dhivehi	Noun	tr	an Indo-Aryan language	kor	디베히어	tr=Dibehi-eo
eng	Dhivehi	Noun	tr	an Indo-Aryan language	msa	bahasa Divehi
eng	Dhivehi	Noun	tr	an Indo-Aryan language	nld	Divehi
eng	Dhivehi	Noun	tr	an Indo-Aryan language	nld	Maldivisch	n
eng	Dhivehi	Noun	tr	an Indo-Aryan language	nld	Maledivisch	n
eng	Dhivehi	Noun	tr	an Indo-Aryan language	nno	dhivehi
