	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Egeria	Proper noun	tr	Asteroid	ell	Ηγερία	f
eng	Egeria	Proper noun	tr	The Roman nymph or goddess	ell	Ηγερία	f
eng	Eger	Proper noun	tr	city in Hungary	hun	Eger
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egyptians	hin	मिसरी
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egyptians	hun	egyiptomi
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egyptians	hye	եգիպտական
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egyptians	isl	egypskur
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egyptians	kat	ეგვიპტელი
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egyptians	msa	Mesir
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egyptians	msa	orang Mesir
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egyptians	nld	Egyptisch
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egyptians	nno	egyptisk
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egyptians	nob	egyptisk
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egyptians	pih	Ejiiptyan
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egyptians	pol	egipski	m
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egyptians	por	egípcio
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egyptians	ron	egiptean
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egyptians	rus	еги́петский
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egyptians	slk	egyptský
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egyptians	slv	egipčanski
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egyptians	spa	egipcio
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egyptians	swe	egyptisk
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egyptians	tgk	мисрӣ
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egyptians	tgl	Ehipsiyo
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egyptians	tur	Mısırlı
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egyptians	vol	hi-Lägüptänanik
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egyptians	vol	ji-Lägüptänanik
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egyptians	vol	Lägüptänanik
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	isl	egypskur
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	ita	egiziano
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	jpn	エジプトの	tr=Ejiputo no	sc=Jpan
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	kat	ეგვიპტური
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	kaz	мысыр
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	kaz	мысырлық
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	khm	អេហ៊្សីប
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	kir	египет
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	kir	египеттик
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	kor	이집트	alt=이집트의
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	lao	ເອຢິບ
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	lav	ēģiptiešu
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	lav	ēģiptisks
eng	Egyptian	Adjective	tr	of, from, or pertaining to Egypt	lit	egiptiečių
