	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	ǃXóõ	Proper noun	tr	language	ces	k'chong
eng	ǃXóõ	Proper noun	tr	language	deu	ǃXóõ	n
eng	ǃXóõ	Proper noun	tr	language	fao	ǃxóõ	n
eng	ǃXóõ	Proper noun	tr	language	heb	קהונג
eng	ǃXóõ	Proper noun	tr	language	nmn	ǃxóɲa ǂàã
eng	ǃXóõ	Proper noun	tr	language	nmn	ǃxóõ
eng	ǃXóõ	Proper noun	tr	language	rus	къхонг	m
