	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Üsküdar	Proper noun	tr		ell	Ουσκουντάρ	sc=Grek
eng	Üsküdar	Proper noun	tr		fas	اسکودار	tr=oskudâr	sc=fa-Arab
eng	Üsküdar	Proper noun	tr		hye	Ուսկյուդար	sc=Armn
eng	Üsküdar	Proper noun	tr		kaz	Үскідар
eng	Üsküdar	Proper noun	tr		ota	اسكدار	tr=Üsküdar
eng	Üsküdar	Proper noun	tr		rus	Ускюдар
eng	Üsküdar	Proper noun	tr		tur	Üsküdar
eng	Üsküdar	Proper noun	tr		uig	ئۈسكۈدار
