	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Gia Lai	Proper noun	tr	province of Vietnam	vie	Gia Lai
eng	gianduja	Noun	tr	Piedmontese chocolate preparation	ara	جَانْدُويَا	f
eng	gianduja	Noun	tr	Piedmontese chocolate preparation	deu	Gianduja	m
eng	gianduja	Noun	tr	Piedmontese chocolate preparation	ell	τζαντούγια	n
eng	gianduja	Noun	tr	Piedmontese chocolate preparation	fra	gianduja	m
eng	gianduja	Noun	tr	Piedmontese chocolate preparation	hbs	đanduja	f
eng	gianduja	Noun	tr	Piedmontese chocolate preparation	hbs	gianduja	f
eng	gianduja	Noun	tr	Piedmontese chocolate preparation	hbs	ђандуја	f
eng	gianduja	Noun	tr	Piedmontese chocolate preparation	hye	ջանդույա
eng	gianduja	Noun	tr	Piedmontese chocolate preparation	ita	gianduia	m
eng	gianduja	Noun	tr	Piedmontese chocolate preparation	ita	gianduja	m
eng	gianduja	Noun	tr	Piedmontese chocolate preparation	jpn	ジャンドゥーヤ	tr=jandūya
eng	gianduja	Noun	tr	Piedmontese chocolate preparation	kor	잔두야
eng	gianduja	Noun	tr	Piedmontese chocolate preparation	pms	giandoja	m
eng	gianduja	Noun	tr	Piedmontese chocolate preparation	rus	джанду́йя	f
eng	gianduja	Noun	tr	Piedmontese chocolate preparation	rus	джанду́я	f
eng	gianduja	Noun	tr	Piedmontese chocolate preparation	ukr	джанду́я	f
eng	Gianluca	Proper noun	tr		fra	Jean-Luc
eng	Gianluca	Proper noun	tr		ita	Gianluca
eng	Giannitsa	Proper noun	tr	a town in Greece	ell	Γιαννιτσα	n
eng	giant	Adjective	tr	giant	ang	entisċ
eng	giant	Adjective	tr	giant	bcl	tandayag
eng	giant	Adjective	tr	giant	ben	বিশাল
eng	giant	Adjective	tr	giant	bul	гига́нтски
eng	giant	Adjective	tr	giant	bul	грама́ден
eng	giant	Adjective	tr	giant	cat	gegant
eng	giant	Adjective	tr	giant	cat	gegantí
eng	giant	Adjective	tr	giant	ces	obří
eng	giant	Adjective	tr	giant	ces	obrovský
eng	giant	Adjective	tr	giant	deu	gigantisch
eng	giant	Adjective	tr	giant	deu	riesig
eng	giant	Adjective	tr	giant	epo	giganta
eng	giant	Adjective	tr	giant	fin	jättiläis-
eng	giant	Adjective	tr	giant	fin	jättiläismäinen
eng	giant	Adjective	tr	giant	hin	दिग्गज
eng	giant	Adjective	tr	giant	hye	աժդահա
eng	giant	Adjective	tr	giant	hye	հսկա
eng	giant	Adjective	tr	giant	hye	վիթխարի
eng	giant	Adjective	tr	giant	ido	giganta
eng	giant	Adjective	tr	giant	kat	გიგანტური
eng	giant	Adjective	tr	giant	kat	უზარმაზარი
eng	giant	Adjective	tr	giant	kea	jiganti
eng	giant	Adjective	tr	giant	lav	gigantisks
eng	giant	Adjective	tr	giant	lav	milzīgs
eng	giant	Adjective	tr	giant	mri	hītawe
eng	giant	Adjective	tr	giant	mri	hītawetawe
eng	giant	Adjective	tr	giant	nld	reusachtig
eng	giant	Adjective	tr	giant	nld	reuzen-
eng	giant	Adjective	tr	giant	por	gigante
