	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Scalise	Proper noun	tr	Italian surname	ita	Scalise
eng	Scandinavian	Adjective	tr	of or relating the North Germanic family of languages	dan	skandinavisk
eng	Scandinavian	Adjective	tr	of or relating the North Germanic family of languages	fao	skandinaviskur	m
eng	Scandinavian	Adjective	tr	of or relating the North Germanic family of languages	fin	pohjoisgermaaninen
eng	Scandinavian	Adjective	tr	of or relating the North Germanic family of languages	fin	skandinaavinen
eng	Scandinavian	Adjective	tr	of or relating the North Germanic family of languages	fra	scandinave
eng	Scandinavian	Adjective	tr	of or relating the North Germanic family of languages	glg	escandinavo	m
eng	Scandinavian	Adjective	tr	of or relating the North Germanic family of languages	ido	Skandinava
eng	Scandinavian	Adjective	tr	of or relating the North Germanic family of languages	ido	Skandinaviana
eng	Scandinavian	Adjective	tr	of or relating the North Germanic family of languages	isl	norrænn	m
eng	Scandinavian	Adjective	tr	of or relating the North Germanic family of languages	isl	skandinavískur	m
eng	Scandinavian	Adjective	tr	of or relating the North Germanic family of languages	lav	skandināvisks
eng	Scandinavian	Adjective	tr	of or relating the North Germanic family of languages	lav	skandināvu
eng	Scandinavian	Adjective	tr	of or relating the North Germanic family of languages	nld	Scandinavisch
eng	Scandinavian	Adjective	tr	of or relating the North Germanic family of languages	nno	skandinavisk
eng	Scandinavian	Adjective	tr	of or relating the North Germanic family of languages	nob	skandinavisk
eng	Scandinavian	Adjective	tr	of or relating the North Germanic family of languages	swa	-a Kiskandinavi
eng	Scandinavian	Adjective	tr	of or relating the North Germanic family of languages	swe	skandinavisk
eng	Scandinavian	Adjective	tr	of or relating to Scandinavia	ast	escandinavu
eng	Scandinavian	Adjective	tr	of or relating to Scandinavia	cat	escandinau
eng	Scandinavian	Adjective	tr	of or relating to Scandinavia	ces	skandinávský
eng	Scandinavian	Adjective	tr	of or relating to Scandinavia	dan	skandinavisk
eng	Scandinavian	Adjective	tr	of or relating to Scandinavia	deu	skandinavisch
eng	Scandinavian	Adjective	tr	of or relating to Scandinavia	ell	σκανδιναβικός	m
eng	Scandinavian	Adjective	tr	of or relating to Scandinavia	fao	skandinaviskur	m
eng	Scandinavian	Adjective	tr	of or relating to Scandinavia	fin	skandinaavinen
eng	Scandinavian	Adjective	tr	of or relating to Scandinavia	fra	scandinave
eng	Scandinavian	Adjective	tr	of or relating to Scandinavia	gla	Lochlannach
eng	Scandinavian	Adjective	tr	of or relating to Scandinavia	gle	Lochlannach
eng	Scandinavian	Adjective	tr	of or relating to Scandinavia	glg	escandinavo
eng	Scandinavian	Adjective	tr	of or relating to Scandinavia	hun	skandináv
eng	Scandinavian	Adjective	tr	of or relating to Scandinavia	hye	սկանդինավյան
eng	Scandinavian	Adjective	tr	of or relating to Scandinavia	ido	Skandinava
eng	Scandinavian	Adjective	tr	of or relating to Scandinavia	ido	Skandinaviana
eng	Scandinavian	Adjective	tr	of or relating to Scandinavia	isl	norrænn	m
eng	Scandinavian	Adjective	tr	of or relating to Scandinavia	isl	skandinavískur	m
eng	Scandinavian	Adjective	tr	of or relating to Scandinavia	ita	scandinavo
eng	Scandinavian	Adjective	tr	of or relating to Scandinavia	lav	skandināvisks
eng	Scandinavian	Adjective	tr	of or relating to Scandinavia	lav	skandināvu
eng	Scandinavian	Adjective	tr	of or relating to Scandinavia	mkd	сканди́навски
eng	Scandinavian	Adjective	tr	of or relating to Scandinavia	nld	Scandinaafs
