	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Joab	Proper noun	tr	nephew of David	heb	יוֹאָב	sc=Hebr
eng	Joab	Proper noun	tr	nephew of David	rus	Иоа́в
eng	Joachim	Proper noun	tr	male given name	bre	Yoasin	m
eng	Joachim	Proper noun	tr	male given name	cat	Joaquim
eng	Joachim	Proper noun	tr	male given name	ces	Jáchym
eng	Joachim	Proper noun	tr	male given name	dan	Joakim
eng	Joachim	Proper noun	tr	male given name	deu	Joachim
eng	Joachim	Proper noun	tr	male given name	ell	Ιωακείμ
eng	Joachim	Proper noun	tr	male given name	epo	Joakimo
eng	Joachim	Proper noun	tr	male given name	est	Joakim
eng	Joachim	Proper noun	tr	male given name	eus	Jokin
eng	Joachim	Proper noun	tr	male given name	fin	Aki
eng	Joachim	Proper noun	tr	male given name	fin	Jaakkima
eng	Joachim	Proper noun	tr	male given name	fra	Joachim
eng	Joachim	Proper noun	tr	male given name	glg	Xaquín	m
eng	Joachim	Proper noun	tr	male given name	hbs	Joakim	sc=Latn
eng	Joachim	Proper noun	tr	male given name	hbs	Јоаким	tr=Joakim	sc=Cyrl
eng	Joachim	Proper noun	tr	male given name	hun	Joáhim
eng	Joachim	Proper noun	tr	male given name	hun	Joakim
eng	Joachim	Proper noun	tr	male given name	hye	Հովակիմ
eng	Joachim	Proper noun	tr	male given name	ita	Gioacchino
eng	Joachim	Proper noun	tr	male given name	ita	Gioachino
eng	Joachim	Proper noun	tr	male given name	kal	Jukku
eng	Joachim	Proper noun	tr	male given name	myv	Акима	m
eng	Joachim	Proper noun	tr	male given name	nld	Joachim
eng	Joachim	Proper noun	tr	male given name	nld	Jochem	m
eng	Joachim	Proper noun	tr	male given name	nor	Joakim
eng	Joachim	Proper noun	tr	male given name	pol	Joachim	m
eng	Joachim	Proper noun	tr	male given name	por	Joaquim
eng	Joachim	Proper noun	tr	male given name	rus	Аким
eng	Joachim	Proper noun	tr	male given name	rus	Иоаким
eng	Joachim	Proper noun	tr	male given name	rus	Иоахим
eng	Joachim	Proper noun	tr	male given name	rus	Яким
eng	Joachim	Proper noun	tr	male given name	scn	Jachinu
eng	Joachim	Proper noun	tr	male given name	sms	Jä´ǩǩem
eng	Joachim	Proper noun	tr	male given name	spa	Joaquín
eng	Joachim	Proper noun	tr	male given name	swe	Joakim
eng	Joachim	Proper noun	tr	male given name	vie	Gioakim
eng	Joachim	Proper noun	tr	male given name	vie	Gioankim
eng	Joachimsthaler	Noun	tr	large silver coin	deu	Joachimsthaler	m
eng	Joachimsthaler	Noun	tr	large silver coin	rus	ефи́мок	m
eng	Joachimsthaler	Noun	tr	large silver coin	rus	иоахимста́лер	m
eng	Joanna	Proper noun	tr	biblical follower of Jesus	ara	يُوَنَّا	f
eng	Joanna	Proper noun	tr	biblical follower of Jesus	bul	Ivana
eng	Joanna	Proper noun	tr	biblical follower of Jesus	bul	Йоана
eng	Joanna	Proper noun	tr	biblical follower of Jesus	bul	Яна
eng	Joanna	Proper noun	tr	biblical follower of Jesus	ces	Jana
eng	Joanna	Proper noun	tr	biblical follower of Jesus	cmn	約亞拿	tr=Yāo yà ná	sc=Hani
eng	Joanna	Proper noun	tr	biblical follower of Jesus	dan	Johanna
eng	Joanna	Proper noun	tr	biblical follower of Jesus	deu	Johanna
eng	Joanna	Proper noun	tr	biblical follower of Jesus	ell	Ιωάννα	f
eng	Joanna	Proper noun	tr	biblical follower of Jesus	est	Johanna
eng	Joanna	Proper noun	tr	biblical follower of Jesus	fin	Johanna
eng	Joanna	Proper noun	tr	biblical follower of Jesus	fra	Jeanne
eng	Joanna	Proper noun	tr	biblical follower of Jesus	gle	Ióánna	f
eng	Joanna	Proper noun	tr	biblical follower of Jesus	glg	Xoana	f
eng	Joanna	Proper noun	tr	biblical follower of Jesus	grc	Ἰωάννα	f
eng	Joanna	Proper noun	tr	biblical follower of Jesus	hye	Հովհաննա
eng	Joanna	Proper noun	tr	biblical follower of Jesus	isl	Jóhanna	f
eng	Joanna	Proper noun	tr	biblical follower of Jesus	ita	Giovanna
eng	Joanna	Proper noun	tr	biblical follower of Jesus	mri	Hoana
eng	Joanna	Proper noun	tr	biblical follower of Jesus	nld	Johanna
eng	Joanna	Proper noun	tr	biblical follower of Jesus	nor	Johanna
eng	Joanna	Proper noun	tr	biblical follower of Jesus	pol	Joanna
