	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Vulcan	Proper noun	tr	Theoretical planet	jpn	バルカン	tr=Barukan
eng	Vulcan	Proper noun	tr	Theoretical planet	mar	व्हल्कन	m
eng	Vulcan	Proper noun	tr	Theoretical planet	por	Vulcano	m
eng	Vulcan	Proper noun	tr	Theoretical planet	rus	Вулка́н	m
eng	Vulcan	Proper noun	tr	Theoretical planet	vie	Vulcan
eng	Vulcan	Proper noun	tr	Theoretical planet	yue	祝融星	sc=Hani
eng	Vulgar Latin	Proper noun	tr	the Latin language as spoken by people	bul	простонаро́ден лати́нски	m
eng	Vulgar Latin	Proper noun	tr	the Latin language as spoken by people	cat	llatí vulgar	m
eng	Vulgar Latin	Proper noun	tr	the Latin language as spoken by people	ces	vulgární latina	f
eng	Vulgar Latin	Proper noun	tr	the Latin language as spoken by people	cmn	通俗拉丁語
eng	Vulgar Latin	Proper noun	tr	the Latin language as spoken by people	cmn	通俗拉丁语	tr=tōngsú lādīngyǔ
eng	Vulgar Latin	Proper noun	tr	the Latin language as spoken by people	dan	vulgærlatin	n
eng	Vulgar Latin	Proper noun	tr	the Latin language as spoken by people	deu	Vulgärlatein	n
eng	Vulgar Latin	Proper noun	tr	the Latin language as spoken by people	ell	Χυδαία λατινικά	n-p
eng	Vulgar Latin	Proper noun	tr	the Latin language as spoken by people	fao	talumálslatín	n
eng	Vulgar Latin	Proper noun	tr	the Latin language as spoken by people	fin	vulgaarilatina
eng	Vulgar Latin	Proper noun	tr	the Latin language as spoken by people	fra	latin vulgaire	m
eng	Vulgar Latin	Proper noun	tr	the Latin language as spoken by people	gle	Laidin na ndaoine	f
eng	Vulgar Latin	Proper noun	tr	the Latin language as spoken by people	glg	latín vulgar	m
eng	Vulgar Latin	Proper noun	tr	the Latin language as spoken by people	hye	ժողովրդական լատիներեն
eng	Vulgar Latin	Proper noun	tr	the Latin language as spoken by people	ita	latino volgare	m
eng	Vulgar Latin	Proper noun	tr	the Latin language as spoken by people	jpn	一般ラテン語	tr=いっぱんラテンご, ippan Ratengo
eng	Vulgar Latin	Proper noun	tr	the Latin language as spoken by people	kat	ვულგარული ლათინური
eng	Vulgar Latin	Proper noun	tr	the Latin language as spoken by people	kat	ხალხური ლათინური
eng	Vulgar Latin	Proper noun	tr	the Latin language as spoken by people	kor	저속한 라틴어	tr=jeosokhan Ratin-eo
eng	Vulgar Latin	Proper noun	tr	the Latin language as spoken by people	lat	lingua Latina vulgaris	f
eng	Vulgar Latin	Proper noun	tr	the Latin language as spoken by people	lat	sermo vulgaris	m
eng	Vulgar Latin	Proper noun	tr	the Latin language as spoken by people	nld	vulgair Latijn	n
eng	Vulgar Latin	Proper noun	tr	the Latin language as spoken by people	nno	vulgærlatin	m
eng	Vulgar Latin	Proper noun	tr	the Latin language as spoken by people	nob	vulgærlatin	m
eng	Vulgar Latin	Proper noun	tr	the Latin language as spoken by people	nrf	Latîn Vuldgaithe	m
eng	Vulgar Latin	Proper noun	tr	the Latin language as spoken by people	pol	łacina ludowa	f
eng	Vulgar Latin	Proper noun	tr	the Latin language as spoken by people	por	latim vulgar	m
eng	Vulgar Latin	Proper noun	tr	the Latin language as spoken by people	ron	latina vulgară	f
eng	Vulgar Latin	Proper noun	tr	the Latin language as spoken by people	rus	вульга́рная латы́нь	f
eng	Vulgar Latin	Proper noun	tr	the Latin language as spoken by people	rus	наро́дная латы́нь	f
eng	Vulgar Latin	Proper noun	tr	the Latin language as spoken by people	spa	latín vulgar	m
eng	Vulgar Latin	Proper noun	tr	the Latin language as spoken by people	swe	vulgärlatin	n
eng	Vulgate	Proper noun	tr	Latin Bible translation	cmn	武加大譯本	sc=Hani
eng	Vulgate	Proper noun	tr	Latin Bible translation	cmn	武加大译本	tr=Wǔjiādà Yìběn	sc=Hani
eng	Vulgate	Proper noun	tr	Latin Bible translation	cmn	通俗譯本	sc=Hani
eng	Vulgate	Proper noun	tr	Latin Bible translation	cmn	通俗译本	tr=Tōngsú Yìběn	sc=Hani
eng	Vulgate	Proper noun	tr	Latin Bible translation	deu	Vulgata	f
eng	Vulgate	Proper noun	tr	Latin Bible translation	ell	Βουλγάτα	f	sc=Grek
eng	Vulgate	Proper noun	tr	Latin Bible translation	fas	ولگاته	tr=volgate
eng	Vulgate	Proper noun	tr	Latin Bible translation	fra	Vulgate
eng	Vulgate	Proper noun	tr	Latin Bible translation	gle	Vulgáid	f
eng	Vulgate	Proper noun	tr	Latin Bible translation	ita	Vulgata	f
eng	Vulgate	Proper noun	tr	Latin Bible translation	pol	Wulgata	f
eng	Vulgate	Proper noun	tr	Latin Bible translation	por	Vulgata	f
eng	Vulgate	Proper noun	tr	Latin Bible translation	rus	Вульга́та	f
eng	Vulgate	Proper noun	tr	Latin Bible translation	spa	Vulgata
eng	Vulgate	Proper noun	tr	Latin Bible translation	swe	Vulgata
