	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Slavonia	Proper noun	tr	region of Croatia	nld	Slavonië	n
eng	Slavonia	Proper noun	tr	region of Croatia	nob	Slavonien	n
eng	Slavonia	Proper noun	tr	region of Croatia	pol	Slawonia
eng	Slavonia	Proper noun	tr	region of Croatia	por	Eslavónia	f
eng	Slavonia	Proper noun	tr	region of Croatia	por	Eslavônia	f
eng	Slavonia	Proper noun	tr	region of Croatia	ron	Slavonia
eng	Slavonia	Proper noun	tr	region of Croatia	rus	Славо́ния	f
eng	Slavonia	Proper noun	tr	region of Croatia	slk	Slavónsko	n
eng	Slavonia	Proper noun	tr	region of Croatia	slv	Slavonija	f
eng	Slavonia	Proper noun	tr	region of Croatia	spa	Eslavonia	f
eng	Slavonia	Proper noun	tr	region of Croatia	swe	Slavonien
eng	Slavonia	Proper noun	tr	region of Croatia	tur	Slavonya
eng	Slavonia	Proper noun	tr	region of Croatia	ukr	Славо́нія	f	sc=Cyrl
eng	Slavonic	Adjective	tr	related to Slavonia	fra	slavon	m
eng	Slavonic	Adjective	tr	related to Slavonia	gle	Slavónach
eng	Slavonic	Adjective	tr	related to Slavonia	hun	szláv
eng	Slavonic	Adjective	tr	related to Slavonia	pol	slawoński	m
eng	Slavonic	Adjective	tr	related to Slavonia	por	eslavónico
eng	Slavonic	Adjective	tr	related to Slavonia	por	eslavônico
eng	Slavonic	Adjective	tr	related to Slavonia	por	eslavónio
eng	Slavonic	Adjective	tr	related to Slavonia	por	eslavônio
eng	Slavonic	Adjective	tr	related to Slavonia	rus	славо́нский
eng	Slavonic	Proper noun	tr	unrecorded ancestor of Slavic languages	fra	esclavon	m
eng	Slavonic	Proper noun	tr	unrecorded ancestor of Slavic languages	fra	paléoslave	m
eng	Slavonic	Proper noun	tr	unrecorded ancestor of Slavic languages	fra	slavon	m
eng	Slavonic	Proper noun	tr	unrecorded ancestor of Slavic languages	fra	vieux slave	m
eng	Slavonic	Proper noun	tr	unrecorded ancestor of Slavic languages	gle	Slavais	f
eng	Slavonic	Proper noun	tr	unrecorded ancestor of Slavic languages	hun	szláv
eng	Slavonic	Proper noun	tr	unrecorded ancestor of Slavic languages	por	eslavo comum	m
eng	Slavonic	Proper noun	tr	unrecorded ancestor of Slavic languages	por	eslavónico	m
eng	Slavonic	Proper noun	tr	unrecorded ancestor of Slavic languages	por	eslavônico	m
eng	Slavonic	Proper noun	tr	unrecorded ancestor of Slavic languages	por	protoeslavo	m
eng	Slavonic	Proper noun	tr	unrecorded ancestor of Slavic languages	rus	общеславя́нский язы́к	m
eng	Slavonic	Proper noun	tr	unrecorded ancestor of Slavic languages	rus	праславя́нский язы́к	m
eng	Slavophile	Noun	tr	person who is interested in the development and prosperity of the Slavic race	bul	славянофи́л	m	sc=Cyrl
eng	Slavophile	Noun	tr	person who is interested in the development and prosperity of the Slavic race	ell	σλαβόφιλος	m	sc=Grek
eng	Slavophile	Noun	tr	person who is interested in the development and prosperity of the Slavic race	fin	slavofiili
eng	Slavophile	Noun	tr	person who is interested in the development and prosperity of the Slavic race	fra	slavophile	m	f
eng	Slavophile	Noun	tr	person who is interested in the development and prosperity of the Slavic race	pol	słowianofil	m
eng	Slavophile	Noun	tr	person who is interested in the development and prosperity of the Slavic race	rus	славянофи́л	m
eng	Slavophile	Noun	tr	person who is interested in the development and prosperity of the Slavic race	rus	славянофи́лка	f
eng	Slavophile	Noun	tr	person who is interested in the development and prosperity of the Slavic race	swe	slavofil	c
eng	Slavo-	Prefix	tr	Slavic	bel	славяна-	sc=Cyrl
eng	Slavo-	Prefix	tr	Slavic	bul	славяно-	sc=Cyrl
eng	Slavo-	Prefix	tr	Slavic	ces	slavjano-
eng	Slavo-	Prefix	tr	Slavic	deu	Slawo-
eng	Slavo-	Prefix	tr	Slavic	fra	slavo-
eng	Slavo-	Prefix	tr	Slavic	pol	słowiano-
eng	Slavo-	Prefix	tr	Slavic	por	eslavo-
eng	Slavo-	Prefix	tr	Slavic	rus	славяно-
eng	Slavo-	Prefix	tr	Slavic	slk	slaviano-
eng	Slavo-	Prefix	tr	Slavic	ukr	слов'яно-	sc=Cyrl
eng	Sleeping Beauty	Proper noun	tr	fairy tale	ara	الْجَمِيلَة الْنَائِمَة	f	tr=al-jamīla an-nāʾima
eng	Sleeping Beauty	Proper noun	tr	fairy tale	bel	Спя́чая Прыгажу́ня	f
eng	Sleeping Beauty	Proper noun	tr	fairy tale	bul	Спя́щата краса́вица	f
eng	Sleeping Beauty	Proper noun	tr	fairy tale	cat	La Bella Dorment	f
eng	Sleeping Beauty	Proper noun	tr	fairy tale	ces	Šípková Růženka	f
eng	Sleeping Beauty	Proper noun	tr	fairy tale	cmn	睡公主	tr=Shuìgōngzhǔ
eng	Sleeping Beauty	Proper noun	tr	fairy tale	cmn	睡美人	tr=Shuìměirén
eng	Sleeping Beauty	Proper noun	tr	fairy tale	dan	Tornerose
eng	Sleeping Beauty	Proper noun	tr	fairy tale	deu	Dornröschen
eng	Sleeping Beauty	Proper noun	tr	fairy tale	ell	Ωραία Κοιμωμένη	f
eng	Sleeping Beauty	Proper noun	tr	fairy tale	epo	La Dormanta Belulino
eng	Sleeping Beauty	Proper noun	tr	fairy tale	epo	La dormanta belulo
eng	Sleeping Beauty	Proper noun	tr	fairy tale	est	Okasroosike
eng	Sleeping Beauty	Proper noun	tr	fairy tale	eus	Loti ederra
eng	Sleeping Beauty	Proper noun	tr	fairy tale	fin	Prinsessa Ruusunen
eng	Sleeping Beauty	Proper noun	tr	fairy tale	fra	La Belle au bois dormant	f
eng	Sleeping Beauty	Proper noun	tr	fairy tale	hbs	Uspavana lepotica	f
eng	Sleeping Beauty	Proper noun	tr	fairy tale	hbs	Успавана лепотица	f
eng	Sleeping Beauty	Proper noun	tr	fairy tale	hin	स्लीपिंग ब्यूटी	f
eng	Sleeping Beauty	Proper noun	tr	fairy tale	hun	Csipkerózsika
eng	Sleeping Beauty	Proper noun	tr	fairy tale	hye	Քնած գեղեցկուհին
eng	Sleeping Beauty	Proper noun	tr	fairy tale	ind	Putri Tidur
eng	Sleeping Beauty	Proper noun	tr	fairy tale	isl	Þyrnirós	f
eng	Sleeping Beauty	Proper noun	tr	fairy tale	ita	La Bella addormentata
eng	Sleeping Beauty	Proper noun	tr	fairy tale	jpn	眠れる森の美女	tr=ねむれるもりのびじょ, Nemureru Mori no Bijo
eng	Sleeping Beauty	Proper noun	tr	fairy tale	kaz	Ұйқыдағы ару
eng	Sleeping Beauty	Proper noun	tr	fairy tale	kaz	Ұйқыдағы сұлу
eng	Sleeping Beauty	Proper noun	tr	fairy tale	kor	잠자는 숲속의 공주
eng	Sleeping Beauty	Proper noun	tr	fairy tale	kor	잠자는 숲속의 미녀
eng	Sleeping Beauty	Proper noun	tr	fairy tale	mkd	Заспаната убавица	f
eng	Sleeping Beauty	Proper noun	tr	fairy tale	mkd	Трнорушка	f
eng	Sleeping Beauty	Proper noun	tr	fairy tale	mlt	Is-Sbejħa Rieqda
eng	Sleeping Beauty	Proper noun	tr	fairy tale	mon	Нойрсож буй гүнж
eng	Sleeping Beauty	Proper noun	tr	fairy tale	msa	Puteri Beradu
eng	Sleeping Beauty	Proper noun	tr	fairy tale	nld	Doornroosje
eng	Sleeping Beauty	Proper noun	tr	fairy tale	nld	Schone Slaapster
eng	Sleeping Beauty	Proper noun	tr	fairy tale	nor	Tornerose
eng	Sleeping Beauty	Proper noun	tr	fairy tale	pol	Śpiąca Królewna	f
eng	Sleeping Beauty	Proper noun	tr	fairy tale	por	A Bela Adormecida
eng	Sleeping Beauty	Proper noun	tr	fairy tale	ron	Frumoasa adormită	f
eng	Sleeping Beauty	Proper noun	tr	fairy tale	ron	Frumoasa din pădure adormită	f
eng	Sleeping Beauty	Proper noun	tr	fairy tale	rus	Спя́щая Краса́вица	f
eng	Sleeping Beauty	Proper noun	tr	fairy tale	slk	Šípková Ruženka	f
eng	Sleeping Beauty	Proper noun	tr	fairy tale	slv	Trnuljčica	f
eng	Sleeping Beauty	Proper noun	tr	fairy tale	spa	La Bella Durmiente
eng	Sleeping Beauty	Proper noun	tr	fairy tale	sqi	Bukuroshja e Fjetur
eng	Sleeping Beauty	Proper noun	tr	fairy tale	swe	Törnrosa
eng	Sleeping Beauty	Proper noun	tr	fairy tale	tha	เจ้าหญิงนิทรา
eng	Sleeping Beauty	Proper noun	tr	fairy tale	tur	Uyuyan Güzel
eng	Sleeping Beauty	Proper noun	tr	fairy tale	uig	ئۇيقۇدىكى ساھىبجامال
eng	Sleeping Beauty	Proper noun	tr	fairy tale	ukr	Спля́ча Красу́ня	f
eng	Sleeping Beauty	Proper noun	tr	fairy tale	uzb	Uyqudagi malika
eng	Sleeping Beauty	Proper noun	tr	main character in this story	afr	Doringrosie
eng	Sleeping Beauty	Proper noun	tr	main character in this story	bul	Спя́ща краса́вица	f
eng	Sleeping Beauty	Proper noun	tr	main character in this story	cat	Bella Dorment	f
eng	Sleeping Beauty	Proper noun	tr	main character in this story	ces	Šípková Ruženka	f
eng	Sleeping Beauty	Proper noun	tr	main character in this story	cmn	睡公主	tr=Shuìgōngzhǔ
eng	Sleeping Beauty	Proper noun	tr	main character in this story	cmn	睡美人	tr=Shuìměirén
eng	Sleeping Beauty	Proper noun	tr	main character in this story	dan	Tornerose
eng	Sleeping Beauty	Proper noun	tr	main character in this story	deu	Dornröschen
eng	Sleeping Beauty	Proper noun	tr	main character in this story	ell	Ωραία Κοιμωμένη	f
eng	Sleeping Beauty	Proper noun	tr	main character in this story	epo	Dormanta Belulino
eng	Sleeping Beauty	Proper noun	tr	main character in this story	epo	Dornorozeto
eng	Sleeping Beauty	Proper noun	tr	main character in this story	fin	Prinsessa Ruusunen
eng	Sleeping Beauty	Proper noun	tr	main character in this story	fra	Belle au bois dormant	f
eng	Sleeping Beauty	Proper noun	tr	main character in this story	glv	Caillin y Saveen Liauyr
eng	Sleeping Beauty	Proper noun	tr	main character in this story	hbs	Uspavana lepotica	f
eng	Sleeping Beauty	Proper noun	tr	main character in this story	hbs	Успавана лепотица	f
eng	Sleeping Beauty	Proper noun	tr	main character in this story	hun	Csipkerózsika
eng	Sleeping Beauty	Proper noun	tr	main character in this story	hye	Քնած գեղեցկուհի
eng	Sleeping Beauty	Proper noun	tr	main character in this story	isl	Þyrnirós	f
eng	Sleeping Beauty	Proper noun	tr	main character in this story	jpn	眠り姫	tr=ねむりひめ, Nemurihime
eng	Sleeping Beauty	Proper noun	tr	main character in this story	jpn	眠れる美女	tr=ねむれるびじょ, Nemureru Bijo
eng	Sleeping Beauty	Proper noun	tr	main character in this story	mkd	Заспаната убавица	f
eng	Sleeping Beauty	Proper noun	tr	main character in this story	mkd	Трнорушка	f
eng	Sleeping Beauty	Proper noun	tr	main character in this story	msa	Puteri Beradu
eng	Sleeping Beauty	Proper noun	tr	main character in this story	nld	Doornroosje
eng	Sleeping Beauty	Proper noun	tr	main character in this story	nor	Tornerose
eng	Sleeping Beauty	Proper noun	tr	main character in this story	por	Bela Adormecida	f
eng	Sleeping Beauty	Proper noun	tr	main character in this story	ron	Frumoasa adormită	f
eng	Sleeping Beauty	Proper noun	tr	main character in this story	rus	Спя́щая Краса́вица	f
eng	Sleeping Beauty	Proper noun	tr	main character in this story	sqi	E Përhitura
eng	Sleeping Beauty	Proper noun	tr	main character in this story	swe	Törnrosa
eng	Sleeping Beauty	Proper noun	tr	main character in this story	tha	เจ้าหญิงนิทรา
eng	Sleeping Beauty	Proper noun	tr	main character in this story	tur	Uyuyan Güzel
eng	Sliabh Luachra	Proper noun	tr	region in Ireland straddling the county boundaries of Cork, Kerry, and Limerick	gle	Sliabh Luachra	m
eng	Slieve Donard	Proper noun	tr	mountain in County Down	gle	Sliabh Dónairt	m
eng	Sligo	Proper noun	tr	county	deu	Sligo
eng	Sligo	Proper noun	tr	county	gle	Contae Shligigh	m
eng	Sligo	Proper noun	tr	county	gle	Sligeach	m
eng	Sligo	Proper noun	tr	county	mkd	Сла́јго	m
eng	Sligo	Proper noun	tr	county	rus	Сла́йго	m
eng	Sligo	Proper noun	tr	town	deu	Sligo
eng	Sligo	Proper noun	tr	town	gle	Sligeach	m
eng	Sligo	Proper noun	tr	town	mkd	Сла́јго	m
eng	Sligo	Proper noun	tr	town	rus	Сла́йго	m
eng	Slinky	Noun	tr	Toy spring	fra	Ondamania	m
eng	Slinky	Noun	tr	Toy spring	fra	Slinky	m
eng	Slinky	Noun	tr	Toy spring	nor	trappetroll	n
eng	Slinky	Noun	tr	Toy spring	rus	слинки
eng	Sliven	Proper noun	tr	city	bul	Сли́вен	m
eng	Sliven	Proper noun	tr	city	rus	Сли́вен	m
eng	Sliven	Proper noun	tr	city	tur	Sliven
eng	Sloane Ranger	Noun	tr	fashionable young woman	por	patricinha	f
eng	Slovak	Adjective	tr	of Slovakia or its language	ara	سْلُوفَاكِيّ
eng	Slovak	Adjective	tr	of Slovakia or its language	aze	slovak
eng	Slovak	Adjective	tr	of Slovakia or its language	bel	слава́цкі
eng	Slovak	Adjective	tr	of Slovakia or its language	bul	слова́шки
eng	Slovak	Adjective	tr	of Slovakia or its language	cat	eslovac
eng	Slovak	Adjective	tr	of Slovakia or its language	ces	slovenský
eng	Slovak	Adjective	tr	of Slovakia or its language	cmn	斯洛伐克	tr=Sīluòfákè de	alt=斯洛伐克的	sc=Hani
eng	Slovak	Adjective	tr	of Slovakia or its language	cor	slovakek
eng	Slovak	Adjective	tr	of Slovakia or its language	cym	Slofacaidd
eng	Slovak	Adjective	tr	of Slovakia or its language	dan	slovakisk
eng	Slovak	Adjective	tr	of Slovakia or its language	deu	slowakisch
eng	Slovak	Adjective	tr	of Slovakia or its language	ell	σλοβακικός
eng	Slovak	Adjective	tr	of Slovakia or its language	epo	slovaka
eng	Slovak	Adjective	tr	of Slovakia or its language	est	slovaki
eng	Slovak	Adjective	tr	of Slovakia or its language	eus	eslovakiar
eng	Slovak	Adjective	tr	of Slovakia or its language	fao	slovakskur
eng	Slovak	Adjective	tr	of Slovakia or its language	fas	اسلواکی	tr=eslovāki
eng	Slovak	Adjective	tr	of Slovakia or its language	fin	slovakialainen
eng	Slovak	Adjective	tr	of Slovakia or its language	fra	slovaque
eng	Slovak	Adjective	tr	of Slovakia or its language	fur	slovac
eng	Slovak	Adjective	tr	of Slovakia or its language	gle	Slóvacach
eng	Slovak	Adjective	tr	of Slovakia or its language	glg	eslovaco
eng	Slovak	Adjective	tr	of Slovakia or its language	hbs	slòvāčkī
eng	Slovak	Adjective	tr	of Slovakia or its language	hbs	сло̀ва̄чкӣ
eng	Slovak	Adjective	tr	of Slovakia or its language	heb	Slovak
eng	Slovak	Adjective	tr	of Slovakia or its language	hin	स्लोवाक
eng	Slovak	Adjective	tr	of Slovakia or its language	hun	szlovák
eng	Slovak	Adjective	tr	of Slovakia or its language	hun	szlovákiai
eng	Slovak	Adjective	tr	of Slovakia or its language	hye	սլովակական
eng	Slovak	Adjective	tr	of Slovakia or its language	hye	սլովակյան
eng	Slovak	Adjective	tr	of Slovakia or its language	isl	slóvakískur
eng	Slovak	Adjective	tr	of Slovakia or its language	isl	slóvaskur
eng	Slovak	Adjective	tr	of Slovakia or its language	ita	slovacco
eng	Slovak	Adjective	tr	of Slovakia or its language	jpn	スロヴァキア	tr=Surovakia no	alt=スロヴァキアの	sc=Jpan
eng	Slovak	Adjective	tr	of Slovakia or its language	kat	სლოვაკური
eng	Slovak	Adjective	tr	of Slovakia or its language	kaz	словак
eng	Slovak	Adjective	tr	of Slovakia or its language	khm	ស្លូវ៉ាគី
eng	Slovak	Adjective	tr	of Slovakia or its language	kir	словак
eng	Slovak	Adjective	tr	of Slovakia or its language	kor	슬로바키아	alt=슬로바키아의
eng	Slovak	Adjective	tr	of Slovakia or its language	lao	ສະໂລວາກີ
eng	Slovak	Adjective	tr	of Slovakia or its language	lav	slovākisks
eng	Slovak	Adjective	tr	of Slovakia or its language	lav	slovāku
eng	Slovak	Adjective	tr	of Slovakia or its language	lit	slovakiškas
eng	Slovak	Adjective	tr	of Slovakia or its language	lit	slovakų
eng	Slovak	Adjective	tr	of Slovakia or its language	mkd	словачки	sc=Cyrl
eng	Slovak	Adjective	tr	of Slovakia or its language	mon	словак
eng	Slovak	Adjective	tr	of Slovakia or its language	msa	Slovak
eng	Slovak	Adjective	tr	of Slovakia or its language	mya	ဆလိုဗားကီးယား
eng	Slovak	Adjective	tr	of Slovakia or its language	nld	Slovaaks
eng	Slovak	Adjective	tr	of Slovakia or its language	nld	Slowaaks
eng	Slovak	Adjective	tr	of Slovakia or its language	nno	slovakisk
eng	Slovak	Adjective	tr	of Slovakia or its language	nob	slovakisk
eng	Slovak	Adjective	tr	of Slovakia or its language	oci	eslovac
eng	Slovak	Adjective	tr	of Slovakia or its language	pol	słowacki
eng	Slovak	Adjective	tr	of Slovakia or its language	por	eslovaco	m
eng	Slovak	Adjective	tr	of Slovakia or its language	ron	slovac
eng	Slovak	Adjective	tr	of Slovakia or its language	rue	слова́цькый
eng	Slovak	Adjective	tr	of Slovakia or its language	rus	слова́цкий
eng	Slovak	Adjective	tr	of Slovakia or its language	slk	slovenský
eng	Slovak	Adjective	tr	of Slovakia or its language	slv	slováški
eng	Slovak	Adjective	tr	of Slovakia or its language	spa	eslovaco	m
eng	Slovak	Adjective	tr	of Slovakia or its language	sqi	sllovak
eng	Slovak	Adjective	tr	of Slovakia or its language	swe	slovakisk
eng	Slovak	Adjective	tr	of Slovakia or its language	tgk	словакӣ
eng	Slovak	Adjective	tr	of Slovakia or its language	tgl	Eslobako
eng	Slovak	Adjective	tr	of Slovakia or its language	tha	สโลวาเกีย
eng	Slovak	Adjective	tr	of Slovakia or its language	tuk	slowak
eng	Slovak	Adjective	tr	of Slovakia or its language	tur	Slovak
eng	Slovak	Adjective	tr	of Slovakia or its language	uig	سلوۋاك
eng	Slovak	Adjective	tr	of Slovakia or its language	ukr	слова́цький
eng	Slovak	Adjective	tr	of Slovakia or its language	uzb	slovak
eng	Slovak	Adjective	tr	of Slovakia or its language	vie	Xlô-va-ki-a
eng	Slovak	Adjective	tr	of Slovakia or its language	yid	סלאָוואַקיש
eng	Slovak Cuvac	Noun	tr	Slovak Chuvach	ces	slovenský čuvač
eng	Slovak Cuvac	Noun	tr	Slovak Chuvach	deu	Slowakischer Tschuvatsch
eng	Slovak Cuvac	Noun	tr	Slovak Chuvach	fin	slovakiancuvac
eng	Slovak Cuvac	Noun	tr	Slovak Chuvach	fra	tchouvatch slovaque
eng	Slovak Cuvac	Noun	tr	Slovak Chuvach	hun	szlovák csuvacs
eng	Slovak Cuvac	Noun	tr	Slovak Chuvach	hun	szlovák kuvasz
eng	Slovak Cuvac	Noun	tr	Slovak Chuvach	pol	czuwacz słowacki
eng	Slovak Cuvac	Noun	tr	Slovak Chuvach	slk	slovenský čuvač
eng	Slovak Cuvac	Noun	tr	Slovak Chuvach	spa	tchuvatch eslovaco
eng	Slovakia	Proper noun	tr	Slovakia	amh	ስሎቫኪያ
eng	Slovakia	Proper noun	tr	Slovakia	ara	سْلُوفَاكِيَا	f	tr=slovākiyā
eng	Slovakia	Proper noun	tr	Slovakia	ast	Eslovaquia	f
eng	Slovakia	Proper noun	tr	Slovakia	aze	Slovakiya
eng	Slovakia	Proper noun	tr	Slovakia	bak	Словакия	sc=Cyrl
eng	Slovakia	Proper noun	tr	Slovakia	bar	Slowàkai
eng	Slovakia	Proper noun	tr	Slovakia	bel	Слава́кія	f	sc=Cyrl
eng	Slovakia	Proper noun	tr	Slovakia	bel	Слава́ччына	f
eng	Slovakia	Proper noun	tr	Slovakia	ben	স্লোভাকিয়া	sc=Beng
eng	Slovakia	Proper noun	tr	Slovakia	bod	སི་ལོ་ཕ་ཁེ
eng	Slovakia	Proper noun	tr	Slovakia	bre	Slovakia
eng	Slovakia	Proper noun	tr	Slovakia	bul	Слова́кия	f	sc=Cyrl
eng	Slovakia	Proper noun	tr	Slovakia	cat	Eslovàquia	f
eng	Slovakia	Proper noun	tr	Slovakia	ces	Slovensko	n
eng	Slovakia	Proper noun	tr	Slovakia	chu	Словѣньско
eng	Slovakia	Proper noun	tr	Slovakia	cmn	斯洛伐克	tr=Sīluòfákè	sc=Hani
eng	Slovakia	Proper noun	tr	Slovakia	crh	Slovakiya
eng	Slovakia	Proper noun	tr	Slovakia	cym	Slofacia
eng	Slovakia	Proper noun	tr	Slovakia	dan	Slovakiet
eng	Slovakia	Proper noun	tr	Slovakia	deu	Slowakei	f
eng	Slovakia	Proper noun	tr	Slovakia	div	ސުލޮވާކިއާ	sc=Thaa
eng	Slovakia	Proper noun	tr	Slovakia	ell	Σλοβακία	f
eng	Slovakia	Proper noun	tr	Slovakia	epo	Slovakio
eng	Slovakia	Proper noun	tr	Slovakia	epo	Slovakujo
eng	Slovakia	Proper noun	tr	Slovakia	est	Slovakkia
eng	Slovakia	Proper noun	tr	Slovakia	eus	Eslovakia
eng	Slovakia	Proper noun	tr	Slovakia	fao	Slovakia	f	n
eng	Slovakia	Proper noun	tr	Slovakia	fas	اسلواکی	tr=eslovâki	sc=fa-Arab
eng	Slovakia	Proper noun	tr	Slovakia	fin	Slovakia
eng	Slovakia	Proper noun	tr	Slovakia	fkv	Slovakia
eng	Slovakia	Proper noun	tr	Slovakia	fra	Slovaquie	f
eng	Slovakia	Proper noun	tr	Slovakia	fur	Slovachie	f
eng	Slovakia	Proper noun	tr	Slovakia	gag	Slovakiya
eng	Slovakia	Proper noun	tr	Slovakia	gla	Slòbhac	alt=An t-Slòbhac
eng	Slovakia	Proper noun	tr	Slovakia	gle	Poblacht na Slóvaice	f
eng	Slovakia	Proper noun	tr	Slovakia	gle	Slóvaic	f	alt=An tSlóvaic
eng	Slovakia	Proper noun	tr	Slovakia	glg	Eslovaquia	f
eng	Slovakia	Proper noun	tr	Slovakia	hau	Sulobakiya
eng	Slovakia	Proper noun	tr	Slovakia	haw	Solowakia
eng	Slovakia	Proper noun	tr	Slovakia	hbs	Slòvāčkā	f
eng	Slovakia	Proper noun	tr	Slovakia	hbs	Сло̀ва̄чка	f	sc=Cyrl
eng	Slovakia	Proper noun	tr	Slovakia	heb	סְלוֹבַקְיָה	f	tr=slovakiya	sc=Hebr
eng	Slovakia	Proper noun	tr	Slovakia	hin	स्लोवाकिया	sc=Deva
eng	Slovakia	Proper noun	tr	Slovakia	hun	Szlovákia
eng	Slovakia	Proper noun	tr	Slovakia	hye	Սլովակիա
eng	Slovakia	Proper noun	tr	Slovakia	ido	Slovakia
eng	Slovakia	Proper noun	tr	Slovakia	ind	Slowakia
eng	Slovakia	Proper noun	tr	Slovakia	isl	Slóvakía	f
eng	Slovakia	Proper noun	tr	Slovakia	ita	Slovacchia
eng	Slovakia	Proper noun	tr	Slovakia	jpn	スロヴァキア	tr=Surovakia
eng	Slovakia	Proper noun	tr	Slovakia	jpn	スロバキア	tr=Surobakia
eng	Slovakia	Proper noun	tr	Slovakia	kat	სლოვაკეთი
eng	Slovakia	Proper noun	tr	Slovakia	kaz	Словакия	sc=Cyrl
eng	Slovakia	Proper noun	tr	Slovakia	khm	ស្លូវ៉ាគី
eng	Slovakia	Proper noun	tr	Slovakia	kir	Словакия	sc=Cyrl
eng	Slovakia	Proper noun	tr	Slovakia	kmr	Slovakya	f
eng	Slovakia	Proper noun	tr	Slovakia	kor	^슬로바키아
eng	Slovakia	Proper noun	tr	Slovakia	lao	ສະໂລວາກີ
eng	Slovakia	Proper noun	tr	Slovakia	lav	Slovākija	f
eng	Slovakia	Proper noun	tr	Slovakia	lit	Slovakija	f
eng	Slovakia	Proper noun	tr	Slovakia	mkd	Словакија	f	sc=Cyrl
eng	Slovakia	Proper noun	tr	Slovakia	mkd	Словачка	f	sc=Cyrl
eng	Slovakia	Proper noun	tr	Slovakia	mlt	Slovakja	f	alt=is-Slovakja
eng	Slovakia	Proper noun	tr	Slovakia	mon	Словак	sc=Cyrl
eng	Slovakia	Proper noun	tr	Slovakia	mri	Horowākia
eng	Slovakia	Proper noun	tr	Slovakia	msa	Slovakia
eng	Slovakia	Proper noun	tr	Slovakia	mya	ဆလိုဗားကီးယား	sc=Mymr
eng	Slovakia	Proper noun	tr	Slovakia	nav	Słóbaʼ bikéyah
eng	Slovakia	Proper noun	tr	Slovakia	nld	Slovakije
eng	Slovakia	Proper noun	tr	Slovakia	nld	Slowakije
eng	Slovakia	Proper noun	tr	Slovakia	nno	Slovakia
eng	Slovakia	Proper noun	tr	Slovakia	nob	Slovakia
eng	Slovakia	Proper noun	tr	Slovakia	nrf	Slovaquie	f
eng	Slovakia	Proper noun	tr	Slovakia	oci	Eslovaquia	f
eng	Slovakia	Proper noun	tr	Slovakia	pol	Słowacja	f
eng	Slovakia	Proper noun	tr	Slovakia	por	Eslováquia
eng	Slovakia	Proper noun	tr	Slovakia	pus	سلواکيا	f	tr=salwākyã
eng	Slovakia	Proper noun	tr	Slovakia	que	Isluwakya
eng	Slovakia	Proper noun	tr	Slovakia	ron	Slovacia	f
eng	Slovakia	Proper noun	tr	Slovakia	rue	Словеньско	n
eng	Slovakia	Proper noun	tr	Slovakia	rus	Слова́кия	f
eng	Slovakia	Proper noun	tr	Slovakia	sco	Slovakie
eng	Slovakia	Proper noun	tr	Slovakia	shn	မိူင်းသလူဝ်ႇဝႃးၵီးယႃး
eng	Slovakia	Proper noun	tr	Slovakia	sin	ස්ලෝවැකියාව	sc=Sinh
eng	Slovakia	Proper noun	tr	Slovakia	slk	Slovensko	n
eng	Slovakia	Proper noun	tr	Slovakia	slv	Slováška	f
eng	Slovakia	Proper noun	tr	Slovakia	sme	Slovakia
eng	Slovakia	Proper noun	tr	Slovakia	spa	Eslovaquia	f
eng	Slovakia	Proper noun	tr	Slovakia	sqi	Sllovakia	f
eng	Slovakia	Proper noun	tr	Slovakia	sqi	Sllovaki	f
eng	Slovakia	Proper noun	tr	Slovakia	sqi	Slovakia	f
eng	Slovakia	Proper noun	tr	Slovakia	swa	Slovakia
eng	Slovakia	Proper noun	tr	Slovakia	swa	Uslovaki
eng	Slovakia	Proper noun	tr	Slovakia	swe	Slovakien
eng	Slovakia	Proper noun	tr	Slovakia	szl	Słowacyjo	f
eng	Slovakia	Proper noun	tr	Slovakia	tat	Словакия
eng	Slovakia	Proper noun	tr	Slovakia	tgk	Словакия
eng	Slovakia	Proper noun	tr	Slovakia	tgl	Eslobakya
eng	Slovakia	Proper noun	tr	Slovakia	tha	สโลวาเกีย
eng	Slovakia	Proper noun	tr	Slovakia	tir	ስሎቫኪያ
eng	Slovakia	Proper noun	tr	Slovakia	ton	Silovakia
eng	Slovakia	Proper noun	tr	Slovakia	tuk	Slowakiýa
eng	Slovakia	Proper noun	tr	Slovakia	tur	Slovakya
eng	Slovakia	Proper noun	tr	Slovakia	uig	سلوۋاكىيە
eng	Slovakia	Proper noun	tr	Slovakia	ukr	Слова́ччина	f	sc=Cyrl
eng	Slovakia	Proper noun	tr	Slovakia	ukr	Слове́ньско	n	sc=Cyrl
eng	Slovakia	Proper noun	tr	Slovakia	urd	سلوواکیہ	tr=slovākiyā	sc=ur-Arab
eng	Slovakia	Proper noun	tr	Slovakia	uzb	Slovakiya
eng	Slovakia	Proper noun	tr	Slovakia	vep	Slovakii
eng	Slovakia	Proper noun	tr	Slovakia	vie	Xlô-va-ki-a
eng	Slovakia	Proper noun	tr	Slovakia	yid	סלאָװאַקײַ	f
eng	Slovakia	Proper noun	tr	Slovakia	yid	סלאָוואַקיע	f
eng	Slovakia	Proper noun	tr	Slovakia	yor	Silofakia
eng	Slovakization	Noun	tr	process of Slovakizing	deu	Slowakisierung	f
eng	Slovakization	Noun	tr	process of Slovakizing	deu	Verslowakung	f
