	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	mya	ဆလဗ
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	nld	Slavisch
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	nob	slavisk
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	pol	słowiański
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	por	eslávico
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	por	eslavo
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	pus	اسلاو	tr=esláw
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	pus	سلاو	tr=sláw
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	ron	slav
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	ron	slavon
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	ron	slavonesc
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	rue	славя́нскый
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	rus	славя́нский
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	slk	slovanský
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	slv	slovánski
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	spa	eslavo	m
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	sqi	sllav
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	swe	slavisk
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	szl	słowjański
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	tat	славян
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	tgk	славян
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	tgl	Eslabo
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	tha	สลาฟ
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	tuk	slawýan
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	tur	Slav
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	udm	славян
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	uig	سىلاۋىيان
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	ukr	слов'я́нський
eng	Slavic	Adjective	tr	of the Slavs, their culture or languages	urd	سلاو	tr=slāv
